@relation 'speaker-suitability-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.supervised.instance.ClassBalancer-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.ExhaustiveSearch'

@attribute event_keyword-speaker_topic-word2vec-max numeric
@attribute classification {1,2,3}

@data
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.049953},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.077637},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.138324},{0.815182}
{},{0.815182}
{0 0.077637},{0.815182}
{},{0.815182}
{0 0.077637},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.076077},{0.815182}
{},{0.815182}
{0 0.076077},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.129469},{0.815182}
{},{0.815182}
{0 0.129469},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.077637},{0.815182}
{},{0.815182}
{0 0.077637},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.361535},{0.815182}
{0 0.145657},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.148936},{0.815182}
{0 0.148457},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.172415},{0.815182}
{},{0.815182}
{0 0.172415},{0.815182}
{},{0.815182}
{0 0.169222},{0.815182}
{0 0.129469},{0.815182}
{},{0.815182}
{0 0.129469},{0.815182}
{},{0.815182}
{0 0.314381},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.09908},{0.815182}
{},{0.815182}
{0 0.09908},{0.815182}
{},{0.815182}
{0 0.092761},{0.815182}
{0 0.103312},{0.815182}
{},{0.815182}
{0 0.103312},{0.815182}
{0 0.103312},{0.815182}
{},{0.815182}
{0 0.095934},{0.815182}
{},{0.815182}
{0 0.095934},{0.815182}
{0 0.095934},{0.815182}
{},{0.815182}
{},{0.815182}
{0 0.176332},{0.815182}
{},{0.815182}
{0 0.148457},{0.815182}
{},{0.815182}
{},{0.815182}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 0.461483,1 2},{1.127854}
{0 0.377796,1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 0.461483,1 2},{1.127854}
{0 0.377796,1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 0.129469,1 2},{1.127854}
{0 0.060391,1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 0.461483,1 2},{1.127854}
{0 0.377796,1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 0.361535,1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 0.148936,1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 0.18513,1 2},{1.127854}
{1 2},{1.127854}
{0 0.172415,1 2},{1.127854}
{1 2},{1.127854}
{0 0.18513,1 2},{1.127854}
{0 0.341779,1 2},{1.127854}
{1 2},{1.127854}
{0 0.374972,1 2},{1.127854}
{1 2},{1.127854}
{0 0.418783,1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
