@relation 'speaker-suitability-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.supervised.instance.ClassBalancer'

@attribute 'Word2Vec event keyword vs speaker topic max (discrete)' numeric
@attribute 'Wordnet event keyword vs speaker topic max (discrete)' numeric
@attribute 'Word2Vec event description vs speaker bio mean (discrete)' numeric
@attribute 'Document Similarity - Vitalie Scurtu (discrete)' numeric
@attribute classification {1,2,3}

@data
{0 1,1 1,2 2,3 2},{0.815182}
{0 2,1 3,2 2,3 3},{0.815182}
{0 3,1 3,2 2,3 3},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 1,1 3,2 2,3 1},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 3,2 1,3 3},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 3,2 1,3 3},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 2,1 2,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 3,2 1,3 1},{0.815182}
{0 1,1 3,2 1,3 2},{0.815182}
{0 1,1 3,2 1,3 1},{0.815182}
{0 1,1 2,2 1,3 2},{0.815182}
{0 2,1 3,2 2,3 2},{0.815182}
{0 2,1 3,2 2,3 2},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 2,2 1,3 2},{0.815182}
{0 1,1 3,2 2,3 1},{0.815182}
{0 1,1 3,2 2,3 3},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 3,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 1,1 3,2 2,3 3},{0.815182}
{0 1,1 3,2 2,3 3},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 2,1 3,2 2,3 2},{0.815182}
{0 2,1 3,2 1,3 2},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 2,1 2,2 1,3 1},{0.815182}
{0 1,1 1,2 2,3 1},{0.815182}
{0 2,1 2,2 2,3 2},{0.815182}
{0 2,1 3,2 1,3 2},{0.815182}
{0 1,1 1,2 2,3 2},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 3,2 2,3 3},{0.815182}
{0 1,1 3,2 1,3 3},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 3,2 1,3 2},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 1,1 3,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 2,1 1,2 2,3 3},{0.815182}
{0 2,1 2,2 1,3 3},{0.815182}
{0 2,1 1,2 2,3 3},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 1,1 1,2 2,3 3},{0.815182}
{0 1,1 2,2 1,3 2},{0.815182}
{0 1,1 1,2 2,3 2},{0.815182}
{0 1,1 2,2 2,3 2},{0.815182}
{0 2,1 2,2 2,3 1},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 2,1 3,2 1,3 3},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 1,1 3,2 2,3 3},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 1,1 1,2 2,3 3},{0.815182}
{0 2,1 3,2 1,3 3},{0.815182}
{0 1,1 1,2 2,3 2},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 2,1 3,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 2,2 2,3 1},{0.815182}
{0 1,1 3,2 2,3 1},{0.815182}
{0 1,1 3,2 1,3 1},{0.815182}
{0 2,1 2,2 2,3 1},{0.815182}
{0 1,1 1,2 2,3 2},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 1,1 3,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 3},{0.815182}
{0 2,1 2,2 2,3 3},{0.815182}
{0 1,1 2,2 2,3 1,4 2},{1.127854}
{0 1,1 3,2 2,3 1,4 2},{1.127854}
{0 1,1 1,2 2,3 2,4 2},{1.127854}
{0 1,1 3,2 1,3 1,4 2},{1.127854}
{0 1,1 2,2 2,3 3,4 2},{1.127854}
{0 1,1 3,2 2,3 3,4 2},{1.127854}
{0 1,1 2,2 2,3 2,4 2},{1.127854}
{0 1,1 2,2 2,3 1,4 2},{1.127854}
{0 1,1 3,2 1,3 1,4 2},{1.127854}
{0 2,1 3,2 2,3 2,4 2},{1.127854}
{0 2,1 3,2 2,3 2,4 2},{1.127854}
{0 2,1 3,2 2,3 1,4 2},{1.127854}
{0 1,1 3,2 1,3 2,4 2},{1.127854}
{0 1,1 3,2 2,3 3,4 2},{1.127854}
{0 1,1 3,2 2,3 3,4 2},{1.127854}
{0 1,1 3,2 2,3 2,4 2},{1.127854}
{0 1,1 3,2 1,3 2,4 2},{1.127854}
