@relation trainingData

@attribute openEval.MultithreadSimpleOpenEvalAprthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalAugthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalJulthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Temperature2thBest {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalNovthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalMarthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalJanthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Temperature3thBest {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalJunthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Holiday {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalSepthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Precipitation1thLeast {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Precipitation2thLeast {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalDecthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalFebthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalMaythreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Precipitation3thLeast {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute openEval.MultithreadSimpleOpenEvalOctthreshold {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Temperature1thBest {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute class {June,October,December,May,September,March,July,January,February,April,August,November}

@data
April,?,July,August,?,March,January,June,June,June,?,February,July,?,?,May,April,?,July,June
April,?,July,August,?,?,January,June,June,?,September,February,July,?,?,?,April,?,July,June
April,?,July,August,?,?,January,June,June,?,?,February,July,December,?,?,April,?,July,June
?,August,?,August,?,?,?,June,June,?,?,February,July,?,?,May,April,?,July,June
April,?,July,August,?,?,January,June,June,?,?,February,July,?,February,?,April,?,July,June
April,August,July,August,?,?,January,June,June,?,?,February,July,?,February,May,April,?,July,June
April,August,July,August,?,?,January,June,June,?,?,February,July,December,?,?,April,?,July,June
April,August,July,August,?,?,January,June,June,?,?,February,July,December,February,May,April,?,July,June
April,?,July,August,?,?,January,June,June,June,?,January,December,December,?,May,February,?,July,June
April,?,July,August,?,March,January,June,?,?,?,January,December,?,?,May,February,?,July,June
April,August,July,August,?,?,January,June,June,?,?,October,September,?,February,May,August,?,July,June
April,?,July,August,?,?,January,June,June,?,?,October,September,?,February,May,August,?,July,June
April,August,July,August,?,March,January,June,June,?,?,June,May,?,?,May,July,?,July,June
April,August,July,August,?,March,January,June,June,?,?,June,May,?,February,May,July,?,July,June
April,August,July,August,?,?,January,June,June,?,September,June,May,December,?,May,July,?,July,June
April,August,July,August,?,March,January,June,June,?,September,June,May,December,?,May,July,?,July,June
April,August,July,August,?,March,January,June,June,?,September,February,January,?,?,May,March,?,July,June
April,August,July,August,?,March,January,June,June,?,September,February,January,December,?,?,March,?,July,June
April,August,July,August,?,March,January,June,June,?,September,February,January,December,?,May,March,?,July,June
April,?,July,August,?,?,January,June,June,?,?,February,January,December,?,May,March,?,July,June
April,August,July,August,?,?,January,June,June,?,?,February,January,December,?,May,March,?,July,June
?,?,July,June,?,?,January,August,June,?,?,August,September,?,?,?,July,?,July,June
?,?,?,August,?,?,?,June,June,October,?,February,July,?,February,May,April,?,July,October
April,?,?,August,?,?,January,June,?,October,?,February,July,?,?,?,April,?,July,October
?,?,?,August,?,?,?,June,?,?,?,February,July,?,?,?,April,?,July,October
April,August,July,August,?,March,January,June,June,?,?,February,July,December,February,?,April,?,July,October
April,?,July,August,?,March,January,June,June,?,September,January,December,December,?,May,February,October,July,October
April,August,July,August,?,March,January,June,June,October,September,January,December,December,February,May,February,?,July,October
April,August,July,August,?,?,January,June,June,?,?,January,December,December,?,May,February,?,July,October
April,?,July,August,?,March,January,June,June,?,September,January,December,?,?,?,February,?,July,October
April,?,?,June,?,?,?,July,?,?,?,October,November,?,?,?,February,?,September,October
April,August,July,August,?,?,January,June,June,?,?,October,September,December,February,May,August,?,July,October
April,?,July,August,?,March,January,June,June,?,September,October,September,December,February,May,August,?,July,October
