%Retrained the CI without the OpenEval data, now with the Holiday Source working better
@relation trainingData

@attribute PlanIt.monthSuggestion.sources.Holiday {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Precipitation1thLeast {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Precipitation2thLeast {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Precipitation3thLeast {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Temperature2thBest {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Temperature3thBest {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute PlanIt.monthSuggestion.sources.Temperature1thBest {June,October,December,May,September,March,July,January,February,April,August,November}
@attribute class {June,October,December,May,September,March,July,January,February,April,August,November}

@data
June,February,July,April,August,June,July,June
?,February,July,April,August,June,July,June
?,February,July,April,August,June,July,June
?,February,July,April,August,June,July,June
?,February,July,April,August,June,July,June
?,February,July,April,August,June,July,June
?,February,July,April,August,June,July,June
?,February,July,April,August,June,July,June
?,January,December,February,August,June,July,June
?,January,December,February,August,June,July,June
?,October,September,August,August,June,July,June
?,October,September,August,August,June,July,June
?,June,May,July,August,June,July,June
?,June,May,July,August,June,July,June
?,June,May,July,August,June,July,June
?,June,May,July,August,June,July,June
?,February,January,March,August,June,July,June
?,February,January,March,August,June,July,June
?,February,January,March,August,June,July,June
?,February,January,March,August,June,July,June
?,February,January,March,August,June,July,June
?,August,September,July,June,August,July,June
October,February,July,April,August,June,July,October
October,February,July,April,August,June,July,October
?,February,July,April,August,June,July,October
?,February,July,April,August,June,July,October
?,January,December,February,August,June,July,October
?,January,December,February,August,June,July,October
?,January,December,February,August,June,July,October
?,January,December,February,August,June,July,October
?,October,November,February,June,July,September,October
?,October,September,August,August,June,July,October
?,October,September,August,August,June,July,October
?,June,May,July,August,June,July,October
?,June,May,July,August,June,July,October
?,September,August,October,April,October,September,October
?,September,August,October,April,October,September,October
?,February,January,March,August,June,July,October
?,February,January,March,August,June,July,October
?,August,September,July,June,August,July,October
?,February,July,April,August,June,July,December
?,October,November,February,June,July,September,December
?,October,November,February,June,July,September,December
?,October,September,August,August,June,July,December
?,June,May,July,August,June,July,December
?,September,August,October,April,October,September,December
?,February,January,March,August,June,July,December
?,August,September,July,June,August,July,December
May,February,July,April,August,June,July,May
May,February,July,April,August,June,July,May
?,February,July,April,August,June,July,May
?,February,July,April,August,June,July,May
?,January,December,February,August,June,July,May
?,January,December,February,August,June,July,May
?,January,December,February,August,June,July,May
?,October,September,August,August,June,July,May
?,October,September,August,August,June,July,May
?,October,September,August,August,June,July,May
?,October,September,August,August,June,July,May
?,October,September,August,August,June,July,May
?,October,September,August,August,June,July,May
?,October,September,August,August,June,July,May
?,October,September,August,August,June,July,May
?,June,May,July,August,June,July,May
?,June,May,July,August,June,July,May
?,June,May,July,August,June,July,May
?,June,May,July,August,June,July,May
?,June,May,July,August,June,July,May
?,June,May,July,August,June,July,May
?,June,May,July,August,June,July,May
?,September,August,October,April,October,September,May
?,February,January,March,August,June,July,May
?,February,January,March,August,June,July,May
?,August,September,July,June,August,July,May
?,August,September,July,June,August,July,May
September,February,July,April,August,June,July,September
?,February,July,April,August,June,July,September
?,January,December,February,August,June,July,September
?,January,December,February,August,June,July,September
?,October,September,August,August,June,July,September
?,October,September,August,August,June,July,September
?,June,May,July,August,June,July,September
?,September,August,October,April,October,September,September
?,September,August,October,April,October,September,September
?,September,August,October,April,October,September,September
?,August,September,July,June,August,July,September
?,February,July,April,August,June,July,March
?,February,July,April,August,June,July,March
?,February,July,April,August,June,July,March
?,February,July,April,August,June,July,March
?,January,December,February,August,June,July,March
?,January,December,February,August,June,July,March
?,January,December,February,August,June,July,March
?,January,December,February,August,June,July,March
?,January,December,February,August,June,July,March
?,October,November,February,June,July,September,March
?,October,November,February,June,July,September,March
?,October,September,August,August,June,July,March
?,June,May,July,August,June,July,March
?,September,August,October,April,October,September,March
?,September,August,October,April,October,September,March
?,September,August,October,April,October,September,March
?,September,August,October,April,October,September,March
?,September,August,October,April,October,September,March
?,February,January,March,August,June,July,March
?,August,September,July,June,August,July,March
July,February,July,April,August,June,July,July
?,February,July,April,August,June,July,July
?,February,July,April,August,June,July,July
?,February,July,April,August,June,July,July
?,January,December,February,August,June,July,July
?,January,December,February,August,June,July,July
?,January,December,February,August,June,July,July
?,October,November,February,June,July,September,July
?,October,November,February,June,July,September,July
?,October,November,February,June,July,September,July
?,October,September,August,August,June,July,July
?,October,September,August,August,June,July,July
?,October,September,August,August,June,July,July
?,October,September,August,August,June,July,July
?,October,September,August,August,June,July,July
?,October,September,August,August,June,July,July
?,June,May,July,August,June,July,July
?,June,May,July,August,June,July,July
