@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'skip main skip sidebar wednesday 20 2008 vacation lasts 3 months schools vacation june ',true
'skip main skip sidebar wednesday 20 2008 vacation lasts 3 months schools vacation june ',true
'skip main skip sidebar wednesday 20 2008 vacation lasts 3 months schools vacation june ',true
'skip main skip sidebar wednesday 20 2008 vacation lasts 3 months schools vacation june ',true
'5 42 am comments home subscribe posts atom blog archive 2008 1 1 vacation lasts view complete profile ',true
'skip main skip sidebar wednesday 20 2008 vacation lasts 3 months schools vacation june ',true
'skip main skip sidebar wednesday 20 2008 vacation lasts 3 months schools vacation june ',true
'skip main skip sidebar wednesday 20 2008 vacation lasts 3 months schools vacation june ',true
'skip main skip sidebar wednesday 20 2008 vacation lasts 3 months schools vacation june ',true
'5 42 am comments home subscribe posts atom blog archive 2008 1 1 vacation lasts view complete profile ',true
'rio 2016 olympic games riocentro - pavilion 6 rio de janeiro 7 2016 credit yuri cortez afp getty images shooting corey cogdell competes trap women qualification 2016 olympics rio de janeiro brazil sunday aug 7 2016 score 68 ',true
'1980 1984 1988 1992 1994 1998 2002 2006 2010 2014 intercalated games 1906 represented olympic committee usoc scheduled compete 2016 olympics rio de janeiro 5 21 2016 athletes appeared olympics edition ',true
'1994 1998 2002 2006 2010 2014 intercalated games 1906 represented olympic committee usoc scheduled compete 2016 olympics rio de janeiro 5 21 2016 athletes appeared olympics edition ',true
'2016 2016-08-12 15 30 boxscore canada vs youth arena rio de janeiro 14 2016 2016-08-14 12 15 boxscore china vs youth arena rio de janeiro boxing edit main articles boxing 2016 olympics boxing 2016 olympics qualification eight boxers ',true
'17 00 japan report 11 2016 2016-08-11 19 30 india report 13 2016 2016-08-13 18 00 britain report tournament main article field hockey 2016 olympics tournament qualify football soccer edit main article football ',true
'japan report 11 2016 2016-08-11 19 30 india report 13 2016 2016-08-13 18 00 britain report tournament main article field hockey 2016 olympics tournament qualify football soccer edit main article football ',true
'irish folk-rockers doctors begin tour 2010 world music central org world music central org search primary menu skip content ',true
'uncategorized store contact search tour announcements irish folk-rockers doctors begin tour 2010 july 22 2010 world music central news department leave comment doctors ',true
'irish folk-rockers doctors begin tour 2010 world music central org world music central org search primary menu skip content ',true
'uncategorized store contact search tour announcements irish folk-rockers doctors begin tour 2010 july 22 2010 world music central news department leave comment doctors ',true
'precipitation 2 41 inches 0 19 inch below 1901-2000 average share story 2010 rankings credit noaa 2010 rankings credit noaa close contiguous fourth-warmest june-august record according noaa climate report issued september ',true
