@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'summer federal holidays comes middle summer sweltering fourth beloved patriotic holiday people mountains seashore national parks fishing camping water sports 2016 ',true
'day comfy private cabins night activity white water rafting - rafting oregon north america availability june august september october 955 duration 3 4 days audience solo adventure travel ',true
'alike includes 3 nights accommodations delicious riverside lunches transportation equipment activity fishing - fly fishing trips - guided fishing idaho usa availability june august september october 1 350 duration 4 days audience solo adventure travel singles ',true
'summer federal holidays comes middle summer sweltering fourth beloved patriotic holiday people mountains seashore national parks fishing camping water sports 2016 ',true
'day comfy private cabins night activity white water rafting - rafting oregon north america availability june august september october 955 duration 3 4 days audience solo adventure travel ',true
'alike includes 3 nights accommodations delicious riverside lunches transportation equipment activity fishing - fly fishing trips - guided fishing idaho usa availability june august september october 1 350 duration 4 days audience solo adventure travel singles ',true
'family adventure remember activity white water rafting - rafting utah usa availability march april june august september october 85 adult duration 1 days audience solo adventure travel ',true
'25 trips 2010 activity biking cycling white water rafting - rafting multisport trips - active adventure idaho usa availability august 1435 duration 5 days audience solo adventure travel singles family ',true
'activity biking cycling white water rafting - rafting multisport trips - active adventure idaho usa availability august 1435 duration 5 days audience solo adventure travel singles family ',true
'white water rafting - rafting multisport trips - active adventure idaho usa availability august 1435 duration 5 days audience solo adventure travel singles family adventure travel adventure travel experts couples partners ',true
'meditation immersion nature lead spiritual growth offer women-only co-ed departures activity white water rafting - rafting idaho usa availability june august september 1295 duration 4 days audience solo adventure travel singles ',true
'growth offer women-only co-ed departures activity white water rafting - rafting idaho usa availability june august september 1295 duration 4 days audience solo adventure travel singles ',true
'gang bank robbers century ago activity white water rafting - rafting utah usa availability june 1350 adult duration 4 5 days audience solo adventure travel singles ',true
'southeast beautiful beach vacation texas 10 vacation top ten travel europe information vacation southeast coolest towns western ohio entertainment ',true
'family adventure remember activity white water rafting - rafting utah usa availability march april june august september october 85 adult duration 1 days audience solo adventure travel ',true
'easy whitewater trip lush forested canyons activity white water rafting - rafting oregon usa availability june 1 485 duration 5 days audience solo adventure travel singles family ',true
'whitewater trip lush forested canyons activity white water rafting - rafting oregon usa availability june 1 485 duration 5 days audience solo adventure travel singles family adventure travel adventure travel experts couples partners ',true
