@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'spotify academic articles instant access thousands journals 40 try 2 weeks free research summer air-conditioning chongqing chenggang nie chenggang nie baizhan li baizhan li yafeng gao yafeng gao meilan tan meilan ',true
'spotify academic articles instant access thousands journals 40 try 2 weeks free research summer air-conditioning chongqing chenggang nie chenggang nie baizhan li baizhan li yafeng gao yafeng gao meilan tan meilan ',true
'travel packages anapa travel packages adler travel packages sochi travel packages kaliningrad travel packages gelendzhik vacation packages type vacation packages november vacation packages september vacation packages ',true
'travel packages adler travel packages sochi travel packages kaliningrad travel packages gelendzhik vacation packages type vacation packages november vacation packages september vacation packages ',true
'travel packages sochi travel packages kaliningrad travel packages gelendzhik vacation packages type vacation packages november vacation packages september vacation packages ',true
'travel packages kaliningrad travel packages gelendzhik vacation packages type vacation packages november vacation packages september vacation packages october vacation packages tourist vacation packages children vacation packages ',true
'travel packages anapa travel packages adler travel packages sochi travel packages kaliningrad travel packages gelendzhik vacation packages type vacation packages november vacation packages september vacation packages ',true
'travel packages adler travel packages sochi travel packages kaliningrad travel packages gelendzhik vacation packages type vacation packages november vacation packages september vacation packages ',true
'travel packages sochi travel packages kaliningrad travel packages gelendzhik vacation packages type vacation packages november vacation packages september vacation packages ',true
'travel packages kaliningrad travel packages gelendzhik vacation packages type vacation packages november vacation packages september vacation packages october vacation packages tourist vacation packages children vacation packages ',true
'cities travel packages moscow travel packages saint petersburg travel packages yekaterinburg vacation packages type vacation packages september vacation packages october vacation packages ',true
'travel packages moscow travel packages saint petersburg travel packages yekaterinburg vacation packages type vacation packages september vacation packages october vacation packages ',true
'packages saint petersburg travel packages yekaterinburg vacation packages type vacation packages september vacation packages october vacation packages november vacation packages tourist holidays 2016 countries holiday deals ',true
'cities travel packages moscow travel packages saint petersburg travel packages yekaterinburg vacation packages type vacation packages september vacation packages october vacation packages ',true
'travel packages moscow travel packages saint petersburg travel packages yekaterinburg vacation packages type vacation packages september vacation packages october vacation packages ',true
'packages saint petersburg travel packages yekaterinburg vacation packages type vacation packages september vacation packages october vacation packages november vacation packages tourist holidays 2016 countries holiday deals ',true
'stock photos royalty free stock footage clips 346 124 stock photos added stock photos images 11 102 results 255075100200auto page page 149 display ',true
'stock photos royalty free stock footage clips 346 124 stock photos added stock photos images 11 102 results 255075100200auto page page 149 display ',true
'tgw marisol-testemonial-tgw experience lifetime tgw thanks quick break quote name required email address required phone departure date january february march april june july august september october november december day 1 2 ',true
'tgw marisol-testemonial-tgw experience lifetime tgw thanks quick break quote name required email address required phone departure date january february march april june july august september october november december day 1 2 ',true
'copyright oceans press 2009 august 2008 - artist maria regina pinto pereira paulo etching aquatint mezzotint ink black charbonnel mixed brazilian ink magenta paper ',true
'copyright oceans press 2009 august 2008 - artist maria regina pinto pereira paulo etching aquatint mezzotint ink black charbonnel mixed brazilian ink magenta paper ',true
'perpetual monthly calendar info gregorian calendar daylight saving time leap seasons summer mid festival - mid festival occurs 15th day 8th lunar celebrates moon fairytale history celebration observance celebrate ',true
'info gregorian calendar daylight saving time leap seasons summer mid festival - mid festival occurs 15th day 8th lunar celebrates moon fairytale history celebration observance celebrate ',true
'daylight saving time leap seasons summer mid festival - mid festival occurs 15th day 8th lunar celebrates moon fairytale history celebration observance celebrate festival ',true
'perpetual monthly calendar info gregorian calendar daylight saving time leap seasons summer mid festival - mid festival occurs 15th day 8th lunar celebrates moon fairytale history celebration observance celebrate ',true
'info gregorian calendar daylight saving time leap seasons summer mid festival - mid festival occurs 15th day 8th lunar celebrates moon fairytale history celebration observance celebrate ',true
'daylight saving time leap seasons summer mid festival - mid festival occurs 15th day 8th lunar celebrates moon fairytale history celebration observance celebrate festival ',true
'free e-mail price list pieces pattern replacements ltd museum feature hall leaf pattern hall leaf click enlarge museum feature re showcasing variety beautiful rare items hall ',true
'e-mail price list pieces pattern replacements ltd museum feature hall leaf pattern hall leaf click enlarge museum feature re showcasing variety beautiful rare items hall leaf pattern clock mug teapot nautilus shape figural ',true
'pieces pattern replacements ltd museum feature hall leaf pattern hall leaf click enlarge museum feature re showcasing variety beautiful rare items hall leaf pattern clock mug teapot nautilus shape figural ',true
'leaf pattern hall leaf click enlarge museum feature re showcasing variety beautiful rare items hall leaf pattern clock mug teapot nautilus shape figural car ',true
'free e-mail price list pieces pattern replacements ltd museum feature hall leaf pattern hall leaf click enlarge museum feature re showcasing variety beautiful rare items hall ',true
'e-mail price list pieces pattern replacements ltd museum feature hall leaf pattern hall leaf click enlarge museum feature re showcasing variety beautiful rare items hall leaf pattern clock mug teapot nautilus shape figural ',true
'pieces pattern replacements ltd museum feature hall leaf pattern hall leaf click enlarge museum feature re showcasing variety beautiful rare items hall leaf pattern clock mug teapot nautilus shape figural ',true
'leaf pattern hall leaf click enlarge museum feature re showcasing variety beautiful rare items hall leaf pattern clock mug teapot nautilus shape figural car ',true
'won crowded summer schools september october november fall holidays holidays mid-autumn festival ',true
