@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'worthwhile join puerto vallarta thousands students epic break nightlife beach parties excursions break college university level occur april perfect time plan break trip ',true
'epic break nightlife beach parties excursions break college university level occur april perfect time plan break trip ',true
'special - chateau apres lodge - park city - language deutsch espa ol portugu br english fran ais chateau apres lodge ',true
'world world world world world world note select region finding country silver weather follow login weather silver md local weather travel add recent locations ',true
'world world world world world note select region finding country silver weather follow login weather silver md local weather travel add recent locations weekend extended month ',true
'posts baltimore curfew dress rehearsal martial law 4 2015 ttip business constitution europe 13 2015 student association tool kits february 24 2015 foia plans martial law 1950s january ',true
'baltimore curfew dress rehearsal martial law 4 2015 ttip business constitution europe 13 2015 student association tool kits february 24 2015 foia plans martial law 1950s january ',true
'martial law 4 2015 ttip business constitution europe 13 2015 student association tool kits february 24 2015 foia plans martial law 1950s january ',true
'wyoming wyoming real estate news canyon real estate cody wyoming skip content home happiest yellowstone posted 15 2016 rita lovell winter extremely mild appears ',true
'estate news canyon real estate cody wyoming skip content home happiest yellowstone posted 15 2016 rita lovell winter extremely mild appears ',true
'resources property listings search mls recent posts 818 beartooth highway yellowstone happiest archives june 2016 2016 2016 february 2016 2015 2015 june 2014 2014 january 2014 august 2013 ',true
'20th - 24th william jessup university 25 february - 5 windward community college 25th - 31st article related break california alphabetical list 50 territories break florida 2017 dates kid-friendly halloween events ',true
'24th william jessup university 25 february - 5 windward community college 25th - 31st article related break california alphabetical list 50 territories break florida 2017 dates kid-friendly halloween events ',true
'ethanol brazil created international ethanol boom tri-flex car faq contact 30 2016 planting corn planting progress - weather late week didn ',true
'special - chateau apres lodge - park city - language deutsch espa ol portugu br english fran ais chateau apres lodge ',true
'world world world world world world note select region finding country silver weather follow login weather silver md local weather travel add recent locations ',true
'world world world world world note select region finding country silver weather follow login weather silver md local weather travel add recent locations weekend extended month ',true
'worthwhile join puerto vallarta thousands students epic break nightlife beach parties excursions break college university level occur april perfect time plan break trip ',true
'epic break nightlife beach parties excursions break college university level occur april perfect time plan break trip ',true
'posts baltimore curfew dress rehearsal martial law 4 2015 ttip business constitution europe 13 2015 student association tool kits february 24 2015 foia plans martial law 1950s january ',true
'baltimore curfew dress rehearsal martial law 4 2015 ttip business constitution europe 13 2015 student association tool kits february 24 2015 foia plans martial law 1950s january ',true
'martial law 4 2015 ttip business constitution europe 13 2015 student association tool kits february 24 2015 foia plans martial law 1950s january ',true
'wyoming wyoming real estate news canyon real estate cody wyoming skip content home happiest yellowstone posted 15 2016 rita lovell winter extremely mild appears ',true
'estate news canyon real estate cody wyoming skip content home happiest yellowstone posted 15 2016 rita lovell winter extremely mild appears ',true
'resources property listings search mls recent posts 818 beartooth highway yellowstone happiest archives june 2016 2016 2016 february 2016 2015 2015 june 2014 2014 january 2014 august 2013 ',true
'20th - 24th william jessup university 25 february - 5 windward community college 25th - 31st article related break california alphabetical list 50 territories break florida 2017 dates kid-friendly halloween events ',true
'24th william jessup university 25 february - 5 windward community college 25th - 31st article related break california alphabetical list 50 territories break florida 2017 dates kid-friendly halloween events ',true
'ethanol brazil created international ethanol boom tri-flex car faq contact 30 2016 planting corn planting progress - weather late week didn ',true
'profile search blog dare lijit search followers copyright 2006-2016 rights reserved motherhood express permission thursday 19 2015 tomorrow five cleaning tips smartphone att attseattle day ',true
'key west crazy breakers forum fodor travel talk forums img src pixel quantserve com pixel p-d0i2ebaml-we2 gif labels ',true
'view trip ideas log subscribe follow facebook twitter pinterest instagram google forums key west crazy breakers forums search forums post topic change forum africa middle east ',true
'trip ideas log subscribe follow facebook twitter pinterest instagram google forums key west crazy breakers forums search forums post topic change forum africa middle east asia ',true
'follow facebook twitter pinterest instagram google forums key west crazy breakers forums search forums post topic change forum africa middle east asia australia ',true
'tagged york view 25 top key west crazy breakers posted isabel aug 12 12 06 52 pm posted tagged florida jump reply add reply report abuse printer friendly ',true
'living alaska hawaii pacific mountain central time zones begin earlier 19 2016 start 19 entire reasons seasonal dates vary ',true
'takes september october november official start date varies country culture world example vernal equinox -- approximately 20th northern hemisphere -- considered day ',true
'start date varies country culture world example vernal equinox -- approximately 20th northern hemisphere -- considered day southern hemisphere start considered september 1st despite ',true
'cold harbor sea temperature average water temperatures menu africa asia aus pacific europe latin america america america mid ',true
'asia aus pacific europe latin america america america mid east home north america cold harbor cold harbor average sea temperature max 6 1 43 0 avg 4 6 40 3 ',true
'takes september october november official start date varies country culture world example vernal equinox -- approximately 20th northern hemisphere -- considered day ',true
