@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'3 tags travel gopro hero3 fujix10 digital iphone pro iphone 5 iphone photography usa video october 2013 sea sun beach honolulu hawaii california los angeles hollywood roadtrip york ',true
'living fall color october wane southern months quality leaf viewing north america viewing fall color ',true
'- ordinaryimages ordinaryimages community remix portfolio archive home img am3 previous day previous bluebird morning posted ordinaryimages kentucky bluegrass 4 2011 architecture creative commons attribution noncommercial-no derivative 3 0 - usa license spotlights ',true
'1999 late fall hike shuckstack fire tower smoky mountains national park north carolina 1999 hike mt cammerer fire tower smoky mountains national park tennessee ',true
'late fall hike shuckstack fire tower smoky mountains national park north carolina 1999 hike mt cammerer fire tower smoky mountains national park tennessee august 1999 digging history cataloochee valley smoky mountains national park ',true
'fall hike shuckstack fire tower smoky mountains national park north carolina 1999 hike mt cammerer fire tower smoky mountains national park tennessee august 1999 digging history cataloochee valley smoky mountains national park north ',true
'2016 travel guides apps cruises greenleaders help center enter destination search europe kingdom uk scotland scotland travel forum browse 39 468 scotland topics foliage october watch topic browse forums browse destination forums europe forums canada forums asia forums central america forums africa forums caribbean forums mexico ',true
'search europe kingdom uk scotland scotland travel forum browse 39 468 scotland topics foliage october watch topic browse forums browse destination forums europe forums canada forums asia forums central america forums africa forums caribbean forums mexico ',true
'noaa warmer average simcenter www wrsc org visualizing sustainable solutions skip main content simcenter programs home reserve ',true
'cities 01 - plan mobilizing save civilization 2013 - noon 2012 noaa warmer average submitted ward mon 12 26 2011 - 2 19pm sets ',true
'southwest portland ore recorded maximum atmospheric pressure reading 30 76 2011 precipitation divisional rank maps download credit noaa climate highlights period experienced above-average temperatures nationally averaged temperature 55 5 degrees ',true
'noaa warmer average noaa home weather oceans fisheries charting satellites climate research coasts careers feedback ',true
'media contact john leslie 301-713-0214 share email print facebook google stumbleupon digg destinations noaa warmer average sets record dozen billion-dollar weather disasters december 7 ',true
'southwest portland ore recorded maximum atmospheric pressure reading 30 76 2011 precipitation divisional rank maps download credit noaa climate highlights period experienced above-average temperatures nationally averaged temperature 55 5 degrees ',true
'tea lite holder scarecrow welcome fall thanksgiving 12 95 buy hot air balloon photo fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine ',true
'12 95 buy hot air balloon photo fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine ',true
'fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights ',true
'wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights cozy printed uk 3 ',true
'30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights cozy printed uk 3 98 ',true
'3 tags travel gopro hero3 fujix10 digital iphone pro iphone 5 iphone photography usa video october 2013 sea sun beach honolulu hawaii california los angeles hollywood roadtrip york ',true
'travel guides apps cruises greenleaders help center destination city neighborhood search europe kingdom uk scotland scotland travel forum browse 39 468 scotland topics foliage october watch topic browse forums browse destination forums europe forums canada forums asia forums central america forums africa forums caribbean forums mexico ',true
'search europe kingdom uk scotland scotland travel forum browse 39 468 scotland topics foliage october watch topic browse forums browse destination forums europe forums canada forums asia forums central america forums africa forums caribbean forums mexico ',true
'living fall color october wane southern months quality leaf viewing north america viewing fall color ',true
'- ordinaryimages ordinaryimages community remix portfolio archive home img am3 previous day previous bluebird morning posted ordinaryimages kentucky bluegrass 4 2011 architecture creative commons attribution noncommercial-no derivative 3 0 - usa license spotlights ',true
'1999 late fall hike shuckstack fire tower smoky mountains national park north carolina 1999 hike mt cammerer fire tower smoky mountains national park tennessee ',true
'late fall hike shuckstack fire tower smoky mountains national park north carolina 1999 hike mt cammerer fire tower smoky mountains national park tennessee august 1999 digging history cataloochee valley smoky mountains national park ',true
'fall hike shuckstack fire tower smoky mountains national park north carolina 1999 hike mt cammerer fire tower smoky mountains national park tennessee august 1999 digging history cataloochee valley smoky mountains national park north ',true
'noaa warmer average simcenter www wrsc org visualizing sustainable solutions skip main content simcenter programs home reserve ',true
'cities 01 - plan mobilizing save civilization 2013 - noon 2012 noaa warmer average submitted ward mon 12 26 2011 - 2 19pm sets ',true
'southwest portland ore recorded maximum atmospheric pressure reading 30 76 2011 precipitation divisional rank maps download credit noaa climate highlights period experienced above-average temperatures nationally averaged temperature 55 5 degrees ',true
'noaa warmer average noaa home weather oceans fisheries charting satellites climate research coasts careers feedback ',true
'media contact john leslie 301-713-0214 share email print facebook google stumbleupon digg destinations noaa warmer average sets record dozen billion-dollar weather disasters december 7 ',true
'southwest portland ore recorded maximum atmospheric pressure reading 30 76 2011 precipitation divisional rank maps download credit noaa climate highlights period experienced above-average temperatures nationally averaged temperature 55 5 degrees ',true
'food health politics money sports sections answers cloud services wikianswers categories travel countries cities kingdom england winter england click answer answer question yes partially ',true
'africa am rica latina argentina brasil canada deutschland espa france india italia xico kingdom colors share slideshow wednesday 14 2012 gardener cleans park leaf blower day ',true
'rica latina argentina brasil canada deutschland espa france india italia xico kingdom colors share slideshow wednesday 14 2012 gardener cleans park leaf blower day ',true
'rural photos - imagenre imagenre community portfolio archive home img am3 previous day previous pond posted jeff honolulu 17 2013 landscape rural portfolio thank time ',true
'green infrastructure green infrastructure - noaa warmer average sets record dozen billion dollar weather disasters got2begreen ',true
'shop events resources advertise feedback visit facebook got2begreen promote page noaa warmer average press release - print post sets record dozen billion ',true
'sport technology tv video games vote 3 loading nature photo galleries travel 0 geralt nowak 5 2014 red oaks hot springs arkansas people love hate ',true
'video games vote 3 loading nature photo galleries travel 0 geralt nowak 5 2014 red oaks hot springs arkansas people love hate days getting shorter temperature lower ',true
'curvature sun according atmospheric radiation measurement arm program continental temperatures september average 53 5 degrees fahrenheit 11 9 celsius according noaa 18-degree 10 ',true
'food health politics money sports sections answers cloud services wikianswers categories travel countries cities kingdom england winter england click answer answer question yes partially ',true
'africa am rica latina argentina brasil canada deutschland espa france india italia xico kingdom colors share slideshow wednesday 14 2012 gardener cleans park leaf blower day ',true
'rica latina argentina brasil canada deutschland espa france india italia xico kingdom colors share slideshow wednesday 14 2012 gardener cleans park leaf blower day ',true
'sport technology tv video games vote 3 loading nature photo galleries travel 0 geralt nowak 5 2014 red oaks hot springs arkansas people love hate ',true
'video games vote 3 loading nature photo galleries travel 0 geralt nowak 5 2014 red oaks hot springs arkansas people love hate days getting shorter temperature lower ',true
'rural photos - imagenre imagenre community portfolio archive home img am3 previous day previous pond posted jeff honolulu 17 2013 landscape rural portfolio thank time ',true
'green infrastructure green infrastructure - noaa warmer average sets record dozen billion dollar weather disasters got2begreen ',true
'shop events resources advertise feedback visit facebook got2begreen promote page noaa warmer average press release - print post sets record dozen billion ',true
'curvature sun according atmospheric radiation measurement arm program continental temperatures september average 53 5 degrees fahrenheit 11 9 celsius according noaa 18-degree 10 ',true
'world relation equator september europe countries northern hemisphere southern ',true
'- september 7 7 october 5 5 december 6 1 art 1 1 halloween ',true
'7 7 october 5 5 december 6 1 art 1 1 halloween ',true
'wind energy resource atlas map 2-5 season-september october information map description http rredc nrel gov ',true
'check www lovethesepics com website entry posted miscellaneous tagged fall color 10 2014 david wild arizona leave reply wild arizona ',true
'fall season usually midseason replacements sweeps period takes measure nielsen ratings particularly strong association start school particularly ',true
'reduce impact green spring yearning desire hot summer shenyang dianqing theme month series wind gift convince people sheng ',true
'world relation equator september europe countries northern hemisphere southern ',true
'- september 7 7 october 5 5 december 6 1 art 1 1 halloween ',true
'7 7 october 5 5 december 6 1 art 1 1 halloween ',true
'wind energy resource atlas map 2-5 season-september october information map description http rredc nrel gov ',true
'check www lovethesepics com website entry posted miscellaneous tagged fall color 10 2014 david wild arizona leave reply wild arizona ',true
'fall season usually midseason replacements sweeps period takes measure nielsen ratings particularly strong association start school particularly ',true
'reduce impact green spring yearning desire hot summer shenyang dianqing theme month series wind gift convince people sheng ',true
'tea lite holder scarecrow welcome fall thanksgiving 12 95 buy hot air balloon photo fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine ',true
'12 95 buy hot air balloon photo fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine ',true
'fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights ',true
'wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights cozy printed uk 3 ',true
'30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights cozy printed uk 3 98 ',true
'tea lite holder scarecrow welcome fall thanksgiving 12 95 buy hot air balloon photo fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine ',true
'12 95 buy hot air balloon photo fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine ',true
'fall wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights ',true
'wall decor home interior art photograph print 30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights cozy printed uk 3 ',true
'30 00 buy country homes interiors magazine uk british edition 2008 color 4 95 buy country homes interiors magazine delights cozy printed uk 3 98 ',true
'especially north snowfall starts appear north ranges -1 10 beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks ',true
'ranges -1 10 beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks ',true
'10 beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks crowds relatively weather condition packing suggestion north ',true
'10 beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks crowds relatively weather condition packing suggestion north cold especially ',true
'beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks crowds relatively weather condition packing suggestion north cold especially ',true
'especially north snowfall starts appear north ranges -1 10 beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks ',true
'ranges -1 10 beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks ',true
'10 beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks crowds relatively weather condition packing suggestion north ',true
'10 beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks crowds relatively weather condition packing suggestion north cold especially ',true
'beijing south central weather favorable ranging 16 24 guangzhou marks beginning winter suitable traveling thanks crowds relatively weather condition packing suggestion north cold especially ',true
'immersed gobi sand dunes snow-capped mountains narrow gansu corridor northwest silk road characterized bitter cold dry winter march time pleasant climate appears july september weather mild june october ',true
'immersed gobi sand dunes snow-capped mountains narrow gansu corridor northwest silk road characterized bitter cold dry winter march time pleasant climate appears july september weather mild june october ',true
'science earth sciences atmospheric sciences climatology climate changes seasons weather click answer september time visit weather consistently cool makes ',true
'sciences atmospheric sciences climatology climate changes seasons weather click answer september time visit weather consistently cool makes ',true
'climate changes seasons weather click answer september time visit weather consistently cool makes comfortable walk enjoy travel ',true
'04 10 started process april 1 2001 dossier sent 25 2001 born january 15 2002 unbeknownst time left ',true
'api 2009 11th clocate - conferences exhibitions toggle navigation home conferences organizers venues add conference subscription ',true
'add conference subscription subscribe sign book hotel add article search search home api 2009 api 2009 11-13 2009 beijing jiuhua exhibition center beijing view hotels near venue event ',true
'conference subscription subscribe sign book hotel add article search search home api 2009 api 2009 11-13 2009 beijing jiuhua exhibition center beijing view hotels near venue event ',true
'sign book hotel add article search search home api 2009 api 2009 11-13 2009 beijing jiuhua exhibition center beijing view hotels near venue event ',true
'book hotel add article search search home api 2009 api 2009 11-13 2009 beijing jiuhua exhibition center beijing view hotels near venue event - view upcoming events cbi ',true
'data integrity fda inspections current september 29-30 2016 mumbai india events description api 2009 held beijing 11-13 2009 api leading exhibition pharmaceutical manufacturing sector covering ',true
'integrity fda inspections current september 29-30 2016 mumbai india events description api 2009 held beijing 11-13 2009 api leading exhibition pharmaceutical manufacturing sector covering ',true
'ky sell 1 401 columbus ohio personal property sale sunday 9th 2014 4 26pm est lenox presidential collection pattern 1 9 1 9 sunday 9th 2014 4 26pm est winning bid ',true
'ohio personal property sale sunday 9th 2014 4 26pm est lenox presidential collection pattern 1 9 1 9 sunday 9th 2014 4 26pm est winning bid 305 34 bids bidding process item ',true
'science earth sciences atmospheric sciences climatology climate changes seasons weather click answer september time visit weather consistently cool makes ',true
'sciences atmospheric sciences climatology climate changes seasons weather click answer september time visit weather consistently cool makes ',true
'climate changes seasons weather click answer september time visit weather consistently cool makes comfortable walk enjoy travel ',true
'api 2009 11th clocate - conferences exhibitions toggle navigation home conferences organizers venues add conference subscription ',true
'add conference subscription subscribe sign book hotel add article search search home api 2009 api 2009 11-13 2009 beijing jiuhua exhibition center beijing view hotels near venue event ',true
'conference subscription subscribe sign book hotel add article search search home api 2009 api 2009 11-13 2009 beijing jiuhua exhibition center beijing view hotels near venue event ',true
'sign book hotel add article search search home api 2009 api 2009 11-13 2009 beijing jiuhua exhibition center beijing view hotels near venue event ',true
'book hotel add article search search home api 2009 api 2009 11-13 2009 beijing jiuhua exhibition center beijing view hotels near venue event - view upcoming events 3rd annual ',true
'european pharmacovigilance clinical trials 2016 october 25-26 2016 london united kingdom events description api 2009 held beijing 11-13 2009 api leading exhibition pharmaceutical manufacturing sector covering ',true
'pharmacovigilance clinical trials 2016 october 25-26 2016 london united kingdom events description api 2009 held beijing 11-13 2009 api leading exhibition pharmaceutical manufacturing sector covering ',true
'04 10 started process april 1 2001 dossier sent 25 2001 born january 15 2002 unbeknownst time left ',true
'ky sell 1 401 columbus ohio personal property sale sunday 9th 2014 4 26pm est lenox presidential collection pattern 1 9 1 9 sunday 9th 2014 4 26pm est winning bid ',true
'ohio personal property sale sunday 9th 2014 4 26pm est lenox presidential collection pattern 1 9 1 9 sunday 9th 2014 4 26pm est winning bid 305 34 bids bidding process item ',true
'weather october weather weather december weather october weather december visit top 5 visit fall author kelly update march 4 2016 travel articles send feedback ',true
'weather weather december weather october weather december visit top 5 visit fall author kelly update march 4 2016 travel articles send feedback ',true
'weather october weather december visit top 5 visit fall author kelly update march 4 2016 travel articles send feedback ',true
'export complex categories exhibition 2016-10-23 09 00 00 2016-10-27 17 00 00 canton fair 2016 import export fair phase 3 october 31 2016 08 00 04 2016 17 00 import export complex categories exhibition 2016-10-31 08 00 ',true
'shanghai travel packages cities travel packages shanghai travel packages hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist ',true
'cities travel packages shanghai travel packages hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist ',true
'travel packages shanghai travel packages hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist trips city trips ',true
'packages hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist trips city trips ',true
'hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist trips city trips ',true
'won crowded summer schools month september october fall holidays holidays mid-autumn festival ',true
'summer schools month september october fall holidays holidays mid-autumn festival tribute ',true
'weather october weather weather december weather october weather december visit top 5 visit fall author kelly update march 4 2016 travel articles send feedback ',true
'weather weather december weather october weather december visit top 5 visit fall author kelly update march 4 2016 travel articles send feedback ',true
'weather october weather december visit top 5 visit fall author kelly update march 4 2016 travel articles send feedback ',true
'export complex categories exhibition 2016-10-23 09 00 00 2016-10-27 17 00 00 canton fair 2016 import export fair phase 3 october 31 2016 08 00 04 2016 17 00 import export complex categories exhibition 2016-10-31 08 00 ',true
'shanghai travel packages cities travel packages shanghai travel packages hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist ',true
'cities travel packages shanghai travel packages hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist ',true
'travel packages shanghai travel packages hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist trips city trips ',true
'packages hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist trips city trips ',true
'hong kong vacation packages month type vacation packages vacation packages october vacation packages september vacation packages tourist trips city trips ',true
'won crowded summer schools month september october fall holidays holidays mid-autumn festival ',true
'summer schools month september october fall holidays holidays mid-autumn festival tribute ',true
'consideration visit mt emei buddhist mountains sunrises sea clouds enjoy beauty apr 07 2016 visiting ',true
'buddhist mountains sunrises sea clouds enjoy beauty apr 07 2016 visiting ',true
'buddhist mountains sunrises sea clouds enjoy beauty apr 07 2016 visiting month ',true
'07 2016 visiting month time enjoy beauty 12345678 25 pop ',true
'hong kong discusses highlights watches sale hong kong 26 2014 christie hong kong 2014 auctions fine rare wines simon tam head wine discusses highlights fine rare wines sales hong kong 22-23 ',true
'tours travel visit september october contact community feedbacks home tours classic tours scenic tours ',true
'tours travel visit september october contact community feedbacks home tours classic tours scenic tours ',true
'tours travel visit september october contact community feedbacks home tours classic tours scenic tours ',true
'travel topchinatravel enjoy travel days september october hot 6 days chengdu jiuzhaigou tour chengdu jiuzhaigou valley 1097 tour code tct-sichuan-02 ',true
'consideration visit mt emei buddhist mountains sunrises sea clouds enjoy beauty apr 07 2016 visiting ',true
'buddhist mountains sunrises sea clouds enjoy beauty apr 07 2016 visiting ',true
'buddhist mountains sunrises sea clouds enjoy beauty apr 07 2016 visiting month ',true
'07 2016 visiting month time enjoy beauty 12345678 25 pop ',true
'hong kong discusses highlights watches sale hong kong 26 2014 christie hong kong 2014 auctions fine rare wines simon tam head wine discusses highlights fine rare wines sales hong kong 22-23 ',true
'italy tuscany landscape cinque terre dolomites photo tour italy tuscany landscape cinque terre dolomites photo tour 29th october 6th 2016 - yading landscape seda monastery yading landscape seda monastery 14th 25th october 2016 - ',true
'tours travel visit september october contact community feedbacks home tours classic tours scenic tours ',true
'tours travel visit september october contact community feedbacks home tours classic tours scenic tours ',true
'tours travel visit september october contact community feedbacks home tours classic tours scenic tours ',true
'travel topchinatravel enjoy travel days september october hot 6 days chengdu jiuzhaigou tour chengdu jiuzhaigou valley 1097 tour code tct-sichuan-02 ',true
'life tour operator compiled graeme mitchell friday 7 2014 tints getting regular reports tour manager tony russell ',true
'leaves time leaves tokyo late december travel self-guided adventure catch fall colors 5 lake towada oirase stream tohoku lake towada heading ',true
