@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'reaching peak period 15 25 luoyang peony festival 1 7 top travel suggestions ',true
'7 top travel suggestions march prepared weather yuanyang terraced fields colorful mirrors ',true
'travel suggestions march prepared weather yuanyang terraced fields colorful mirrors water begins ',true
'suggestions march prepared weather yuanyang terraced fields colorful mirrors water begins ',true
'march prepared weather yuanyang terraced fields colorful mirrors water begins ',true
'mid-march mid-may difference latitude northern china\'s south earlier march northern march temperatures day begin warm evening hours bring ',true
'temperatures experience temperatures comfortable humidity detailed weather information weather march weather weather help enjoy avoid labor day ',true
'comfortable humidity detailed weather information weather march weather weather help enjoy avoid labor day week crowds celebrates labor day week ',true
'humidity detailed weather information weather march weather weather help enjoy avoid labor day week crowds celebrates labor day week ',true
'detailed weather information weather march weather weather help enjoy avoid labor day week crowds celebrates labor day week ',true
'environment dealing ongoing effects girl walks mother shimizu elementary fukushima northern 6 2011 70 schools regular classes wednesday city ',true
'earthquake tsunami stroke country march 11 girl smiles shimizu elementary fukushima northern 6 2011 boys play soccer volunteers acts ',true
'2011 heat wave - wikipedia 2011 heat wave wikipedia free encyclopedia jump navigation search 2011 exceptional warm weather occurred dry weather persistent march ',true
'2011 heat wave wikipedia free encyclopedia jump navigation search 2011 exceptional warm weather occurred dry weather persistent march ',true
'index php title spring_2011_united_kingdom_heat_wave oldid 757066551 categories 2011 heat waves 2011 disasters 2011 meteorology heat waves weather events march 2011 events 2011 events hidden categories articles unsourced statements articles unsourced statements december ',true
'index php title spring_2011_united_kingdom_heat_wave oldid 757066551 categories 2011 heat waves 2011 disasters 2011 meteorology heat waves weather events march 2011 events 2011 events hidden categories articles unsourced statements articles unsourced statements december ',true
'2011 heat waves 2011 disasters 2011 meteorology heat waves weather events march 2011 events 2011 events hidden categories articles unsourced statements articles unsourced statements december ',true
'spring september 1 whatever rationale seasons begin simply australian months march daylight saving time dayloght saving time sunday ',true
'observe daylight saving time public holidays public holidays include easter sunday occur march labor day western victoria equivalent eight hours day tasmania canberra day australian ',true
'macworld - apple awsome 2015 torrent downloads - download free torrents login register faq advanced search home ',true
'register faq advanced search home torrents yesterday torrents torrent downloads books macworld - apple awsome 2015 books macworld - apple awsome 2015 rate torrent - macworld ',true
'home torrents yesterday torrents torrent downloads books macworld - apple awsome 2015 books macworld - apple awsome 2015 rate torrent - macworld - apple awsome ',true
'torrents yesterday torrents torrent downloads books macworld - apple awsome 2015 books macworld - apple awsome 2015 rate torrent - macworld - apple awsome 2015 free ',true
'torrents torrent downloads books macworld - apple awsome 2015 books macworld - apple awsome 2015 rate torrent - macworld - apple awsome 2015 free ',true
'books macworld - apple awsome 2015 books macworld - apple awsome 2015 rate torrent - macworld - apple awsome 2015 free direct download usenet 300gb free torrent ',true
'macworld - apple awsome 2015 books macworld - apple awsome 2015 rate torrent - macworld - apple awsome 2015 free direct download usenet 300gb free torrent info name macworld ',true
'2015 books macworld - apple awsome 2015 rate torrent - macworld - apple awsome 2015 free direct download usenet 300gb free torrent info name macworld - ',true
'- apple awsome 2015 rate torrent - macworld - apple awsome 2015 free direct download usenet 300gb free torrent info name macworld - apple awsome 2015 total size 10 09 mb magnet magnet link seeds ',true
'apple awsome 2015 rate torrent - macworld - apple awsome 2015 free direct download usenet 300gb free torrent info name macworld - apple awsome 2015 total size 10 09 mb magnet magnet link seeds 1 leechers 7 stream ',true
'2015 free direct download usenet 300gb free torrent info name macworld - apple awsome 2015 total size 10 09 mb magnet magnet link seeds 1 leechers 7 stream watch ',true
'updated 2015-04-01 23 02 14 update torrent added 2015-04-02 00 02 12 alternatives macworld - apple awsome 2015 torrents torrent files list macworld - apple awsome 2015 pdf size ',true
'14 update torrent added 2015-04-02 00 02 12 alternatives macworld - apple awsome 2015 torrents torrent files list macworld - apple awsome 2015 pdf size 10 09 mb files 1 macworld ',true
'update torrent added 2015-04-02 00 02 12 alternatives macworld - apple awsome 2015 torrents torrent files list macworld - apple awsome 2015 pdf size 10 09 mb files 1 macworld - apple awsome ',true
'12 alternatives macworld - apple awsome 2015 torrents torrent files list macworld - apple awsome 2015 pdf size 10 09 mb files 1 macworld - apple awsome ',true
'- apple awsome 2015 torrents torrent files list macworld - apple awsome 2015 pdf size 10 09 mb files 1 macworld - apple awsome 2015 pdf 10 09 mb trackerleech seeds udp tracker4 piratux ',true
'apple awsome 2015 torrents torrent files list macworld - apple awsome 2015 pdf size 10 09 mb files 1 macworld - apple awsome 2015 pdf 10 09 mb trackerleech seeds udp tracker4 piratux com 6969 announce 7 ',true
'- apple awsome 2015 pdf size 10 09 mb files 1 macworld - apple awsome 2015 pdf 10 09 mb trackerleech seeds udp tracker4 piratux com 6969 announce 7 1 ',true
'0 http announce torrentsmd com 6969 announce 0 0 torrent description description macworld - apple awsome 2015 related torrents torrent name health leech seeds size macworld - apple\'s bumper crop ',true
'com 6969 announce 0 0 torrent description description macworld - apple awsome 2015 related torrents torrent name health leech seeds size macworld - apple\'s bumper crop ipads macs software muc 0 0 6 60 mb ',true
'mother 4 st petersburg - youtube jp view message english youtube learn you\'re ',true
'you\'re viewing youtube japanese change preference below __count__ __total__ mother 4 st petersburg alexey korsun 33 19 0 1 0 1 2014 04 03 youtube ',true
'massive heavy riyadh 2014 - youtube jp view message english youtube learn you\'re viewing youtube ',true
'you\'re viewing youtube japanese change preference below __count__ __total__ massive heavy riyadh 2014 adith babu 1212 2 821 5 6 0 1 2014 04 05 youtube friday ',true
'babu 1212 2 821 5 6 0 1 2014 04 05 youtube friday 13th riyadh 13 2012 - 2 21 riyadh al-najjar 16 579 2 21 ',true
'2 821 5 6 0 1 2014 04 05 youtube friday 13th riyadh 13 2012 - 2 21 riyadh al-najjar 16 579 2 21 day night - 2 11 therichexpat 87 247 2 11 ',true
'821 5 6 0 1 2014 04 05 youtube friday 13th riyadh 13 2012 - 2 21 riyadh al-najjar 16 579 2 21 day night - 2 11 therichexpat 87 247 2 11 kkia riyadh ',true
'5 6 0 1 2014 04 05 youtube friday 13th riyadh 13 2012 - 2 21 riyadh al-najjar 16 579 2 21 day night - 2 11 therichexpat 87 247 2 11 kkia riyadh ',true
'kuwait 2011 - 2 40 jor doug 354 563 2 40 worst sand storm - 3 01 malshawwaf 1 240 374 3 01 riyadh 1 2015 - 3 25 syed rehan 3 384 3 25 huge sand storm ',true
'11 587 2 3 0 1 2015 04 01 ironically ia fools day real sand storm riyadh kingdom youtube kkia riyadh 04132012 mp4 - 5 20 shannon caparas 5 691 5 20 riyadh 1 ',true
'camp buehring 25mar2011 - 4 16 rmr1967 449 853 4 16 sand storm khobar 1 2015 - 13 58 adi8x 574 13 58 heavy riyadh 4 1 2015 - 4 11 zacksmith villanueva 980 4 11 ',true
'project - 1 31 ibrahim jde 3 604 1 31 friday 13th riyadh 13 2012 - 2 21 riyadh al-najjar 16 579 2 21 massive heavy ',true
'- 1 31 ibrahim jde 3 604 1 31 friday 13th riyadh 13 2012 - 2 21 riyadh al-najjar 16 579 2 21 massive heavy riyadh 2014 - 2 34 adith babu 2 820 2 ',true
'1 31 ibrahim jde 3 604 1 31 friday 13th riyadh 13 2012 - 2 21 riyadh al-najjar 16 579 2 21 massive heavy riyadh 2014 - 2 34 adith babu 2 820 2 34 ',true
'31 ibrahim jde 3 604 1 31 friday 13th riyadh 13 2012 - 2 21 riyadh al-najjar 16 579 2 21 massive heavy riyadh 2014 - 2 34 adith babu 2 820 2 34 jeddah ',true
'13 2012 - 2 21 riyadh al-najjar 16 579 2 21 massive heavy riyadh 2014 - 2 34 adith babu 2 820 2 34 jeddah september 8 ',true
'2012 - 2 21 riyadh al-najjar 16 579 2 21 massive heavy riyadh 2014 - 2 34 adith babu 2 820 2 34 jeddah september 8 2015 6 00 pm - 4 03 comely 28 575 874 ',true
'september november actual based weather seasons follows spring september - october summer november - march - winter june - august spring short ',true
'death chart - 2015 revised - - cookies online experience using website ',true
'death chart - 2015 revised - - cookies online experience using website ',true
'cookies accordance cookie policy learn close home usa death chart - 2015 revised updated 22 2015 article charles fox iv mcguirewoods llp ',true
'cookies accordance cookie policy learn close home usa death chart - 2015 revised updated 22 2015 article charles fox iv mcguirewoods llp ',true
'canton fair 2013 - 113th import export fair 2013 - chinaexhibition com sourcing suppliers manufacturers taiwan ',true
'organizer trade city trade venue expired trade business home trade calendar canton fair 2013 - 113th import export fair 2013 canton fair 2013 - ',true
'city trade venue expired trade business home trade calendar canton fair 2013 - 113th import export fair 2013 canton fair 2013 - ',true
'venue expired trade business home trade calendar canton fair 2013 - 113th import export fair 2013 canton fair 2013 - 113th import ',true
'expired trade business home trade calendar canton fair 2013 - 113th import export fair 2013 canton fair 2013 - 113th import export fair 2013 fields required ',true
'business home trade calendar canton fair 2013 - 113th import export fair 2013 canton fair 2013 - 113th import export fair 2013 fields required ',true
'2013 - 113th import export fair 2013 canton fair 2013 - 113th import export fair 2013 fields required receive ',true
'trade date 2013 04 15 - 2013 05 05 expired event\'s profile 113th import export fair canton fair 2013 canton fair 2013 note canton fair 2013 2013 autumn edition visit canton fair ',true
'2013 venue import export fair pazhou complex guangzhou 113th import export fair canton fair 2013 held 15th 5th 2013 import export ',true
'export fair pazhou complex guangzhou 113th import export fair canton fair 2013 held 15th 5th 2013 import export fair canton fair comprehensive trade ',true
'fair pazhou complex guangzhou 113th import export fair canton fair 2013 held 15th 5th 2013 import export fair canton fair comprehensive trade ',true
'exhibit variety broadest distribution overseas buyers business turnover canton fair held biannually guangzhou autumn time initiation 1957 - 1st session canton fair interval sessions fair session ',true
'1st session canton fair interval sessions fair session 113th import export fair canton fair 2013 phase 15th-19th 2013 9 30-18 00 phase 23rd-27th 2013 9 30-18 ',true
'canton fair 2012 october autumn business turnover national pavilion 36 030 million usd 111th import export fair - canton fair 2012 exhibitors 24 644 exhibitors 111th import export fair - canton ',true
'36 030 million usd 111th import export fair - canton fair 2012 exhibitors 24 644 exhibitors 111th import export fair - canton fair 2012 import export fair ',true
'030 million usd 111th import export fair - canton fair 2012 exhibitors 24 644 exhibitors 111th import export fair - canton fair 2012 import export fair canton fair leans export trade import business ',true
