@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'1988 1992 1996 2000 2004 2008 2012 2016 related appearances 1906 intercalated games represented olympic committee usoc competed 2004 olympics athens greece 13 29 2004 delegation 613 athletes largest country sent ',true
'1992 1996 2000 2004 2008 2012 2016 related appearances 1906 intercalated games represented olympic committee usoc competed 2004 olympics athens greece 13 29 2004 delegation 613 athletes largest country sent ',true
'2008 2012 2016 related appearances 1906 intercalated games represented olympic committee usoc competed 2004 olympics athens greece 13 29 2004 delegation 613 athletes largest country sent ',true
'2 nordhagen 1 3 pp advance 7 edit 2003 pan american games 2004 paralympics references edit crumpacker john 13 2004 staley flag-bearer basketball star lead ceremonies san francisco chronicle ',true
'2 nordhagen 1 3 pp advance 7 edit 2003 pan american games 2004 paralympics references edit crumpacker john 13 2004 staley flag-bearer basketball star lead ceremonies san francisco chronicle ',true
'advance 7 edit 2003 pan american games 2004 paralympics references edit crumpacker john 13 2004 staley flag-bearer basketball star lead ceremonies san francisco chronicle ',true
'92 19 sports medals ranked 3rd gold silver bronze total 10 5 7 22 youth olympics appearances 2010 2014 competed 2014 youth olympics nanjing china 16 28 2014 92 athletes 19 sports participated 1 contents 1 medalists 2 ',true
'gold silver bronze total 10 5 7 22 youth olympics appearances 2010 2014 competed 2014 youth olympics nanjing china 16 28 2014 92 athletes 19 sports participated 1 contents 1 medalists 2 ',true
'200 metres 000000002016-08-24-000024 03 bronze zeng lauralaura zeng gymnastics girls\' rhythmic individual all-around 000000002016-08-27-000027 athletics edit main article athletics 2014 youth olympics qualified 16 athletes 2 qualification legend final medal qb final non-medal qc ',true
'1992 1996 2000 2004 2008 2012 2016 related appearances 1906 intercalated games america represented olympic committee usoc competed 2012 olympics london july 27 12 2012 athletes competed olympic games modern ',true
'2016 related appearances 1906 intercalated games america represented olympic committee usoc competed 2012 olympics london july 27 12 2012 athletes competed olympic games modern ',true
'jump navigation search 11th olympic basketball tournament los angeles 1984 tournament details olympics 1984 olympics host nation america city los angeles duration july 29 10 men\'s tournament teams 12 medals gold medalists silver medalists spain bronze medalists ',true
'south korea bronze medalists china tournaments moscow 1980 seoul 1988 basketball contests 1984 olympics forum inglewood july 29 10 won gold medal events ',true
'1964 1968 1972 1976 1980 1984 1988 1992 1996 2000 2004 2008 2012 2016 competed 2012 paralympics london kingdom 29 september 9 2012 contents 1 medallists 1 1 multiple medallists 2 archery 3 ',true
'1968 1972 1976 1980 1984 1988 1992 1996 2000 2004 2008 2012 2016 competed 2012 paralympics london kingdom 29 september 9 2012 contents 1 medallists 1 1 multiple medallists 2 archery 3 ',true
'1988 1992 1996 2000 2004 2008 2012 2016 related appearances 1906 intercalated games represented olympic committee usoc competed 2016 olympics rio de janeiro 5 21 2016 athletes appeared olympics edition ',true
