@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'5 3 7 billion 2008 usd power outages 1 7 million affected northeastern storms 2008 09 2008 northeastern ice storm damaging ice storm power ',true
'3 7 billion 2008 usd power outages 1 7 million affected northeastern storms 2008 09 2008 northeastern ice storm damaging ice storm power millions ',true
'2008 usd power outages 1 7 million affected northeastern storms 2008 09 2008 northeastern ice storm damaging ice storm power millions people ',true
'temperatures los angeles york snow covers york city\'s central park throughout nisian hughes getty melanie renzulli travel expert melanie renzulli updated august 30 2016 means busy holiday travel season time ',true
'snow covers york city\'s central park throughout nisian hughes getty melanie renzulli travel expert melanie renzulli updated august 30 2016 means busy holiday travel season time ',true
'covers york city\'s central park throughout nisian hughes getty melanie renzulli travel expert melanie renzulli updated august 30 2016 means busy holiday travel season time comes snowing ',true
'getty melanie renzulli travel expert melanie renzulli updated august 30 2016 means busy holiday travel season time comes snowing month ',true
'melanie renzulli travel expert melanie renzulli updated august 30 2016 means busy holiday travel season time comes snowing month elevations ',true
'edit list records broken north america 2015 16 edit 2nd warmest boston ma 2001 02 66 wettest recorded lower 48 67 snowfall single snowstorm allentown pa ',true
'list records broken north america 2015 16 edit 2nd warmest boston ma 2001 02 66 wettest recorded lower 48 67 snowfall single snowstorm allentown pa ',true
'2013 north american storm complex satellite image nasa depicting system central 21 type ice storm storm extratropical cyclone tornado outbreak formed 19 2013 dissipated 23 2013 lowest pressure ',true
'american wikipedia free encyclopedia jump navigation search 2013 14 north american temperature map frigid conditions january 2 4 2014 astronomical 21 march 20 meteorological 1 february 28 2012 13 2013 14 2014 15 ',true
'search 2013 14 north american temperature map frigid conditions january 2 4 2014 astronomical 21 march 20 meteorological 1 february 28 2012 13 2013 14 2014 15 ',true
'flights canceled reports power outages 18 19 20 21 storm edit 2 pacific storm system entered western spread heavy rain snow pacific coast rocky mountains ',true
'canceled reports power outages 18 19 20 21 storm edit 2 pacific storm system entered western spread heavy rain snow pacific coast rocky mountains ',true
'nunavut 10 seasonal summary edit strong storm impacts pacific coast 12 north american season date expressed significant level variance cyclone ',true
'produced snow michigan cold air rushed late january storm cold wave edit 27 arctic cold front swung northwestern bringing cold temperatures low pressure formed front ',true
'dec 21 2012 http gbtimes com life dongzhi-celebrating-winter-solstice schrandt lydia 2013-01-28 ngzh festival solstice festival viator yeh joseph 23 2008 solstice taiwan culture portal archived original august 26 2012 ',true
'http gbtimes com life dongzhi-celebrating-winter-solstice schrandt lydia 2013-01-28 ngzh festival solstice festival viator yeh joseph 23 2008 solstice taiwan culture portal archived original august 26 2012 retrieved 9 ',true
'commons retrieved https en wikipedia org index php title dongzhi_festival oldid 757421655 categories festivals holidays buddhist festivals movable observances public holidays folk festivals festivals korea annual events south korea folk festivals ',true
'https en wikipedia org index php title dongzhi_festival oldid 757421655 categories festivals holidays buddhist festivals movable observances public holidays folk festivals festivals korea annual events south korea folk festivals ',true
'harbin harbin photos attractions photos harbin videos harbin tourist maps home tours trips trips below trips departing throughout march adapted hotels activities ',true
'photos attractions photos harbin videos harbin tourist maps home tours trips trips below trips departing throughout march adapted hotels activities ',true
'attractions photos harbin videos harbin tourist maps home tours trips trips below trips departing throughout march adapted hotels activities ',true
'photos harbin videos harbin tourist maps home tours trips trips below trips departing throughout march adapted hotels activities ',true
'harbin videos harbin tourist maps home tours trips trips below trips departing throughout march adapted hotels activities ',true
'maps home tours trips trips below trips departing throughout march adapted hotels activities ',true
'temples winter-time holiday treat savor forever yunnan warm holiday destination february temperature 12 - 18 ',true
'tours travel visit january february contact community feedbacks home tours classic tours scenic ',true
'tours travel visit january february contact community feedbacks home tours classic tours scenic ',true
'tours travel visit january february contact community feedbacks home tours classic tours scenic ',true
'tours specially selected popular tour packages plan travel january february north visit harbin grand ice snow ',true
'2004 christmas eve storm - wikipedia 2004 christmas eve storm wikipedia free encyclopedia jump navigation search 2004 christmas eve storm 25 2004 morning visible satellite image cyclone south louisiana brought snow ',true
'2004 christmas eve storm - wikipedia 2004 christmas eve storm wikipedia free encyclopedia jump navigation search 2004 christmas eve storm 25 2004 morning visible satellite image cyclone south louisiana brought snow ',true
'storm wikipedia free encyclopedia jump navigation search 2004 christmas eve storm 25 2004 morning visible satellite image cyclone south louisiana brought snow ',true
'little christmas kids holiday travel time peaceful not-too-busy traveling huge deal ',true
'lantern festival mid-autumn festival dragon boat festival harbin ice snow festival public holiday schedule festivals home travel guide china\'s top 6 visit china\'s top 6 visit travel guide ',true
'festival dragon boat festival harbin ice snow festival public holiday schedule festivals home travel guide china\'s top 6 visit china\'s top 6 visit travel guide activities suggestions top 5 ski resorts november trip ',true
'schedule festivals home travel guide china\'s top 6 visit china\'s top 6 visit travel guide activities suggestions top 5 ski resorts november trip ',true
'china\'s top 6 visit china\'s top 6 visit travel guide activities suggestions top 5 ski resorts november trip ',true
'6 visit china\'s top 6 visit travel guide activities suggestions top 5 ski resorts november trip trip january february trip month ',true
'visit travel guide activities suggestions top 5 ski resorts november trip trip january february trip month visit popular tourist ',true
'travel guide activities suggestions top 5 ski resorts november trip trip january february trip month visit popular tourist ',true
'guide activities suggestions top 5 ski resorts november trip trip january february trip month visit popular tourist ',true
'activities suggestions top 5 ski resorts november trip trip january february trip month visit popular tourist ',true
'5 ski resorts november trip trip january february trip month visit popular tourist cities beijing shanghai xi ',true
'tours inspirational ideas visit november top 6 visit january weather travel guide activities suggestions author kelly update 5 2016 ',true
'visit november top 6 visit january weather travel guide activities suggestions author kelly update 5 2016 ',true
'november top 6 visit january weather travel guide activities suggestions author kelly update 5 2016 ',true
'november top 6 visit january weather travel guide activities suggestions author kelly update 5 2016 travel articles send feedback ',true
'true enjoy art coziness love feel terms calendar takes approximately mid-march length depth depend bit ',true
'enjoy art coziness love feel terms calendar takes approximately mid-march length depth depend bit ',true
'coziness love feel terms calendar takes approximately mid-march length depth depend bit ',true
'love feel terms calendar takes approximately mid-march length depth depend bit wrote ',true
'terms calendar takes approximately mid-march length depth depend bit wrote article visit seasons ',true
'starting surprisingly times visit hakuba japanese alps lasts mid-march depending location winters cold temperatures ranging approximately 30 ',true
'surprisingly times visit hakuba japanese alps lasts mid-march depending location winters cold temperatures ranging approximately 30 ',true
'surprisingly times visit hakuba japanese alps lasts mid-march depending location winters cold temperatures ranging approximately 30 ',true
'surprisingly times visit hakuba japanese alps lasts mid-march depending location winters cold temperatures ranging approximately 30 ',true
'fest hong kong hong kong christmas popular tourists popular tours celebrate christamas day hong kong choose spring-like weather weather enjoy outdoor fun hiking south ',true
'kong hong kong christmas popular tourists popular tours celebrate christamas day hong kong choose spring-like weather weather enjoy outdoor fun hiking south skiing ',true
'weather june weather july weather august weather september weather october weather november weather travel guide activities suggestions china\'s top 6 visit ',true
'weather july weather august weather september weather october weather november weather travel guide activities suggestions china\'s top 6 visit ',true
'weather august weather september weather october weather november weather travel guide activities suggestions china\'s top 6 visit ',true
'weather september weather october weather november weather travel guide activities suggestions china\'s top 6 visit ',true
