@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'northeastern natural hazards nasa earth observatory home images global maps features news notes acquired 9 2013 download image 8 mb jpeg 5800x4400 acquired 9 2013 download geotiff ',true
'8 mb jpeg 5800x4400 acquired 9 2013 download geotiff file 49 mb tiff acquired 9 2013 download google earth file kmz nor easter struck northeastern 8 9 2013 depositing multiple clouds cleared 9 moderate resolution imaging spectroradiometer ',true
'acquired 9 2013 download google earth file kmz nor easter struck northeastern 8 9 2013 depositing multiple clouds cleared 9 moderate resolution imaging spectroradiometer ',true
'view left subscribe eo kids related images blizzard piles england 15 2015 snowy drought january 1 2011 heavy northeastern october 30 2011 england 10 2013 deficit october 1 2011 ',true
'subscribe eo kids related images blizzard piles england 15 2015 snowy drought january 1 2011 heavy northeastern october 30 2011 england 10 2013 deficit october 1 2011 ',true
'england 15 2015 snowy drought january 1 2011 heavy northeastern october 30 2011 england 10 2013 deficit october 1 2011 view related images subscribe feeds contact ',true
'england 15 2015 snowy drought january 1 2011 heavy northeastern october 30 2011 england 10 2013 deficit october 1 2011 view related images subscribe feeds contact ',true
'14 2014 roofs cave bergen passaic counties northjersey com record 14 2014 retrieved 14 2014 major ice events pre-1900 1717 feb 27 mar 7 1886 jan 6 10 1888 jan 12 13 mar ',true
'roofs cave bergen passaic counties northjersey com record 14 2014 retrieved 14 2014 major ice events pre-1900 1717 feb 27 mar 7 1886 jan 6 10 1888 jan 12 13 mar ',true
'1977 10 pp 1392 1422 national oceanic atmospheric administration central nws region average mean temperature 1895-1976 national oceanic atmospheric administration contiguous temperatures october march 1 8 sets feb 19 mark 5 low due little hope ',true
'7070 mm monthly rainfall 33 moderate uv index average maximum daytime temperature 7 45 usually 6 hours bright sunshine day ',true
'midday skies average night-time temperature usually -3 27 weather represented washington metric mm imperial inches ',true
'current updated information seasonal including information h1n1 cdc seasonal website cdc estimates 2009 h1n1 influenza hospitalizations deaths april 2009 13 2010 page print entire document background table cdc cumulative estimates ',true
'13 2009 january 16 2010 correlate five week period low activity activity leveled low january 17 13 2010 2009 h1n1 hospitalizations deaths continued occur ',true
'january 16 2010 correlate five week period low activity activity leveled low january 17 13 2010 2009 h1n1 hospitalizations deaths continued occur ',true
'nationwide four-week time period added estimates regions reported ili activity regional baselines january 17 2010 13 2010 indicating ongoing localized activity 2009 h1n1 reported widespread activity ',true
'storm wikipedia free encyclopedia jump navigation search mid-february 2014 north american storm category 4 crippling rsi 10 66 storm tracking east coast 13 type extratropical cyclone storm blizzard ice storm formed 11 2014 11 ',true
'navigation search mid-february 2014 north american storm category 4 crippling rsi 10 66 storm tracking east coast 13 type extratropical cyclone storm blizzard ice storm formed 11 2014 11 ',true
'american storm category 4 crippling rsi 10 66 storm tracking east coast 13 type extratropical cyclone storm blizzard ice storm formed 11 2014 11 2014 dissipated 24 2014 ',true
'1988 1992 1994 1998 2002 2006 2010 2014 related appearances 1906 intercalated games competed 2014 olympics sochi russia 7 23 2014 team usa consisted 230 athletes competing 15 sports ',true
'lantern festival mid-autumn festival dragon boat festival harbin ice snow festival public holiday schedule festivals home travel guide five travel five travel travel guide ',true
'festival dragon boat festival harbin ice snow festival public holiday schedule festivals home travel guide five travel five travel travel guide activities suggestions top 5 ski resorts november trip ',true
'schedule festivals home travel guide five travel five travel travel guide activities suggestions top 5 ski resorts november trip ',true
'five travel five travel travel guide activities suggestions top 5 ski resorts november trip ',true
'travel five travel travel guide activities suggestions top 5 ski resorts november trip december trip january trip month it\'s ',true
'travel travel guide activities suggestions top 5 ski resorts november trip december trip january trip month it\'s time appreciate rape flowers plum blossom ',true
'travel guide activities suggestions top 5 ski resorts november trip december trip january trip month it\'s time appreciate rape flowers plum blossom ',true
'activities suggestions top 5 ski resorts november trip december trip january trip month it\'s time appreciate rape flowers plum blossom ',true
'suggestions top 5 ski resorts november trip december trip january trip month it\'s time appreciate rape flowers plum blossom warm meanwhile ',true
'5 ski resorts november trip december trip january trip month it\'s time appreciate rape flowers plum blossom warm meanwhile ',true
'sanya hainan temperature 18 28 -64 82 read sanya weather trip coldness china\'s hainan island ideal it\'s warmest fun sea beaches yalong ',true
'sanya weather trip coldness china\'s hainan island ideal it\'s warmest fun sea beaches yalong bay ',true
'lower hot coated steel stock metal bulletin price scrap statistics company supply-demand earnings report lower hot ',true
'lower hot coated steel stock metal bulletin price scrap statistics company supply-demand earnings report lower hot coated ',true
