@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'yearly average nearly 100 inches 255 cm close eight feet buries nearby buffalo typical cities receive fresh december february 16 51 largest cities annual snowfall normally adds ',true
'feet buries nearby buffalo typical cities receive fresh december february 16 51 largest cities annual snowfall normally adds ',true
'edu nwsfo storage 20000125 cnn_news_article htm external links edit record blankets region 25 2000 winter storm major ice events pre-1900 1717 feb 27 mar 7 1886 jan 6 10 1888 jan 12 13 mar ',true
'news notes acquired 1 - 31 2011 download image 419 kb png 1066x706 2011 marked series crippling storms 12 71 percent country ground ',true
'image 419 kb png 1066x706 2011 marked series crippling storms 12 71 percent country ground fifth-largest ',true
'png 1066x706 2011 marked series crippling storms 12 71 percent country ground fifth-largest cover extent 45 image ',true
'modis nasa terra satellite monthly cover product maximum cover month image contiguous exception florida image provides gauge extent length time ',true
'maximum cover month image contiguous exception florida image provides gauge extent length time ',true
'inch liquid water melts winter storms brought rain national climatic data center 2011 ninth-driest 117 southern half ',true
'wave waves north america winter 1886 87 1888 northwest wave freeze blue norther november 11 1911 1912 wave 1936 north american wave wave 1977 wave 1978 sunday winter 1985 wave 1994 north american ',true
'wave waves north america winter 1886 87 1888 northwest wave freeze blue norther november 11 1911 1912 wave 1936 north american wave wave 1977 wave 1978 sunday winter 1985 wave 1994 north american ',true
'northwest wave freeze blue norther november 11 1911 1912 wave 1936 north american wave wave 1977 wave 1978 sunday winter 1985 wave 1994 north american ',true
'blizzard major blizzard produced 3 ft 91 cm mid-atlantic northeast friday 22 sunday 24 2016 evolving shortwave trough system consolidated ',true
'charlotte north carolina 51 52 mid-atlanticedit forecast expected weather conditions eastern saturday 23 blue indicates green indicates rain purple indicates mixed precipitation darker shades denote heavier precipitation ',true
'gertrude days worse 77 impactedit view eastern 1 30 est 18 30 utc 24 blizzard subsided blankets region highlighting local topographic hydrologic features regional snowfall index analysis ',true
