@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'winnipeg savings season christmas december deals fall june vacation deals vacation deals august deals march break november deals september selloffs spring summer winter sell offs usa ultimate vacation destinations book enjoy fanastic sell ',true
'destin rosemary seaside etc forum fodor\'s travel talk forums log subscribe facebook twitter pinterest instagram google home menu ',true
'destin rosemary seaside etc forum fodor\'s travel talk forums log subscribe facebook twitter pinterest instagram google home menu ',true
'view trip ideas log subscribe follow facebook twitter pinterest instagram google forums destin rosemary seaside etc forums search forums post topic change ',true
'trip ideas log subscribe follow facebook twitter pinterest instagram google forums destin rosemary seaside etc forums search forums post topic change forum africa middle east asia ',true
'follow facebook twitter pinterest instagram google forums destin rosemary seaside etc forums search forums post topic change forum africa middle east asia australia ',true
'facebook twitter pinterest instagram google forums destin rosemary seaside etc forums search forums post topic change forum africa middle east asia australia ',true
'nagyov laura bao cilia charbonnier 6 2 79 67 4 semifinals edit italy vs edit italy 1 ancona tennis association ancona italy 24 25 1999 red clay 4 1 2 3 1 rita grande venus williams 2 6 3 6 ',true
'laura bao cilia charbonnier 6 2 79 67 4 semifinals edit italy vs edit italy 1 ancona tennis association ancona italy 24 25 1999 red clay 4 1 2 3 1 rita grande venus williams 2 6 3 6 2 ',true
'edit italy vs edit italy 1 ancona tennis association ancona italy 24 25 1999 red clay 4 1 2 3 1 rita grande venus williams 2 6 3 6 2 silvia ',true
'world world world world world note select region finding country west palm weather follow login weather west palm fl local weather 78 local weather today\'s weather hourly forecast ',true
'world world world world note select region finding country west palm weather follow login weather west palm fl local weather 78 local weather today\'s weather hourly forecast extended weekend month outlook ',true
'hampton sea temperature average water temperatures menu africa asia aus pacific europe latin america america america mid ',true
'asia aus pacific europe latin america america america mid east home north america hampton hampton average sea temperature max 20 4 68 8 avg 18 1 64 6 ',true
'manhattan sea temperature average water temperatures menu africa asia aus pacific europe latin america america america mid ',true
'asia aus pacific europe latin america america america mid east home north america manhattan manhattan average sea temperature max 21 4 70 5 avg 19 9 67 8 ',true
'virginia weather 2017 - accuweather forecast va 23451 recent locations virginia va48 york ny50 miami fl80 los angeles ca48 browse location recent countries china kingdom countries world north america ',true
'world world world world world world note select region finding country virginia weather follow login weather virginia va local weather 48 local weather today\'s weather hourly forecast extended ',true
'world world world world world note select region finding country virginia weather follow login weather virginia va local weather 48 local weather today\'s weather hourly forecast extended weekend month outlook ',true
'summer liz osborn currentresults com 51 largest cities phoenix las vegas stand consistently getting remarkably weather months june august major cities average temperature throughout summer ',true
'britain 3 10 2 britain argentina 6 argentina 6 5 rowing edit main article rowing 1924 olympics 20 rowers represented 1924 nation\'s fourth appearance ',true
'britain 3 10 2 britain argentina 6 argentina 6 5 rowing edit main article rowing 1924 olympics 20 rowers represented 1924 nation\'s fourth appearance ',true
'world world world world world note select region finding country orchard weather follow login weather orchard local weather 40 local weather today\'s weather hourly forecast ',true
'world world world world note select region finding country orchard weather follow login weather orchard local weather 40 local weather today\'s weather hourly forecast extended weekend month outlook ',true
'street shopping warm travel light disadvantages touring sometimes heavy thunderstorms flooding central south coastal sometimes suffer typhoons peak travel top attractions wall packed tourists schools universities ',true
'sea temperature average water temperatures menu africa asia aus pacific europe latin america america america mid ',true
'asia aus pacific europe latin america america america mid east home north america average sea temperature max 24 7 76 4 avg 22 3 72 1 ',true
'verine br mond nathalie dechy 4 6 6 1 6 2 5 russia vs edit russia 3 luzhniki palace sports moscow russia 14 15 2007 decoturf 2 1 2 3 1 anna chakvetadze vania king 6 1 6 3 ',true
'verine br mond nathalie dechy 4 6 6 1 6 2 5 russia vs edit russia 3 luzhniki palace sports moscow russia 14 15 2007 decoturf 2 1 2 3 1 anna chakvetadze vania king 6 1 6 3 2 ',true
'russia vs edit russia 3 luzhniki palace sports moscow russia 14 15 2007 decoturf 2 1 2 3 1 anna chakvetadze vania king 6 1 6 3 2 nadia ',true
'ubom ra kurhajcov els callens caroline maes 4 6 5 7 9 italy vs edit italy 0 william fitzgerald tennis centre washington 19 20 2003 decoturf ii 5 1 2 3 1 francesca schiavone meghann shaughnessy 3 6 4 6 ',true
'vs edit italy 0 william fitzgerald tennis centre washington 19 20 2003 decoturf ii 5 1 2 3 1 francesca schiavone meghann shaughnessy 3 6 4 6 ',true
'edit italy 0 william fitzgerald tennis centre washington 19 20 2003 decoturf ii 5 1 2 3 1 francesca schiavone meghann shaughnessy 3 6 4 6 2 ',true
'italy 0 william fitzgerald tennis centre washington 19 20 2003 decoturf ii 5 1 2 3 1 francesca schiavone meghann shaughnessy 3 6 4 6 2 rita ',true
'event guide travel com travel travel plan trip weather guides visitor\'s weather event guide travel typical street scene shanghai mike kemp getty images sara naumann travel expert sara naumann updated december ',true
'trip weather guides visitor\'s weather event guide travel typical street scene shanghai mike kemp getty images sara naumann travel expert sara naumann updated december ',true
'weather guides visitor\'s weather event guide travel typical street scene shanghai mike kemp getty images sara naumann travel expert sara naumann updated december 12 2016 overview enjoys dubious ',true
'guide travel typical street scene shanghai mike kemp getty images sara naumann travel expert sara naumann updated december 12 2016 overview enjoys dubious title wettest month wins ',true
'wet hot extremely humid hey hot humid quick-dry clothes organized head surviving travel difficult ',true
'hey hot humid quick-dry clothes organized head surviving travel difficult ',true
'associated weather helpful information stay fit travel weather brief statistics help understand ',true
'20-21 editathon jul 13 2013 john novak join weekend editathon saturday sunday 20 21 days improving openstreetmap 8 participant cities people map ',true
'john novak join weekend editathon saturday sunday 20 21 days improving openstreetmap 8 participant cities people map libraries coworking spaces ',true
'held shanghai source confucius institute bogazici university time 2012-07-27 16 46 36 17 2012 two-week impression camp finished successfully shanghai university 18 students 6 top universities turkey joined ',true
'weather averages hokkaido holiday weather search search home asia hokkaido averages hokkaido weather lowdown finally arrived hokkaido island suffers degree ',true
'weather averages hokkaido holiday weather search search home asia hokkaido averages hokkaido weather lowdown finally arrived hokkaido island suffers degree ',true
'related appearances 1906 intercalated games saar 1952 united team 1956 1964 east 1968 1988 west 1968 1988 competed 2012 olympics london 27 12 august 2012 nation\'s sixth consecutive appearance olympics ',true
'intercalated games saar 1952 united team 1956 1964 east 1968 1988 west 1968 1988 competed 2012 olympics london 27 12 august 2012 nation\'s sixth consecutive appearance olympics ',true
'1952 united team 1956 1964 east 1968 1988 west 1968 1988 competed 2012 olympics london 27 12 august 2012 nation\'s sixth consecutive appearance olympics ',true
'content news business politics science technology movies tv pop culture videos search business travel rest travel agencies offer 16 2011 jonathan green leave comment tweet tweet campaign save energy ',true
'science technology movies tv pop culture videos search business travel rest travel agencies offer 16 2011 jonathan green leave comment tweet tweet campaign save energy ',true
'videos search business travel rest travel agencies offer 16 2011 jonathan green leave comment tweet tweet campaign save energy finally letting overworked salarymen women advantage ',true
'1992 1996 2000 2004 2008 2012 2016 related appearances 1906 intercalated games america represented olympic committee usoc competed 2012 olympics london 27 august 12 2012 athletes competed olympic games ',true
'2016 related appearances 1906 intercalated games america represented olympic committee usoc competed 2012 olympics london 27 august 12 2012 athletes competed olympic games ',true
'1980 1984 1988 1992 1996 2000 2004 2008 2012 2016 related appearances republic 1924 1972 people\'s republic competed 2012 olympics london united kingdom 27 12 august 2012 nation\'s ninth appearance olympics ',true
'2008 2012 2016 related appearances republic 1924 1972 people\'s republic competed 2012 olympics london united kingdom 27 12 august 2012 nation\'s ninth appearance olympics ',true
