@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'weather 2017 - accuweather forecast wa 98631 recent locations wa38 york ny48 miami fl80 los angeles ca45 browse location recent countries china kingdom countries world north america ',true
'world world world world world world note select region finding country weather follow login weather wa local weather 38 local weather today\'s weather hourly forecast extended ',true
'world world world world world note select region finding country weather follow login weather wa local weather 38 local weather today\'s weather hourly forecast extended weekend month outlook ',true
'virginia weather 2017 - accuweather forecast va 23451 recent locations virginia va46 york ny48 miami fl80 los angeles ca45 browse location recent countries china kingdom countries world north america ',true
'world world world world world world note select region finding country virginia weather follow login weather virginia va local weather 46 local weather today\'s weather hourly forecast extended ',true
'world world world world world note select region finding country virginia weather follow login weather virginia va local weather 46 local weather today\'s weather hourly forecast extended weekend month outlook ',true
'lazzarino lea pericoli ingrid palmeri christiane mercelis 6 2 6 2 1 round edit vs rhodesia edit 3 blau-weiss tennis club west berlin 8 1967 red clay rhodesia 0 1 2 3 1 billie jean king patricia walkden 6 3 2 6 ',true
'lea pericoli ingrid palmeri christiane mercelis 6 2 6 2 1 round edit vs rhodesia edit 3 blau-weiss tennis club west berlin 8 1967 red clay rhodesia 0 1 2 3 1 billie jean king patricia walkden 6 3 2 6 ',true
'christiane mercelis 6 2 6 2 1 round edit vs rhodesia edit 3 blau-weiss tennis club west berlin 8 1967 red clay rhodesia 0 1 2 3 1 billie jean king patricia walkden 6 3 2 6 ',true
'lidy venneboer sylvana lazzarino lea pericoli 6 2 5 7 4 6 7 quarterfinals edit vs south africa edit 3 blau-weiss tennis club west berlin 9 1967 red clay south africa 0 1 2 3 1 rosie casals glenda swan 6 1 6 4 ',true
'venneboer sylvana lazzarino lea pericoli 6 2 5 7 4 6 7 quarterfinals edit vs south africa edit 3 blau-weiss tennis club west berlin 9 1967 red clay south africa 0 1 2 3 1 rosie casals glenda swan 6 1 6 4 ',true
'6 2 5 7 4 6 7 quarterfinals edit vs south africa edit 3 blau-weiss tennis club west berlin 9 1967 red clay south africa 0 1 2 3 1 rosie casals glenda swan 6 1 6 4 ',true
'rr janine lieffrig judy tegart lesley turner 3 6 3 6 11 semifinals edit vs west germany edit 3 blau-weiss tennis club west berlin 10 1967 red clay west germany 0 1 2 3 1 rosie casals helga sl 6 2 7 ',true
'rr janine lieffrig judy tegart lesley turner 3 6 3 6 11 semifinals edit vs west germany edit 3 blau-weiss tennis club west berlin 10 1967 red clay west germany 0 1 2 3 1 rosie casals helga sl 6 2 7 ',true
'lesley turner 3 6 3 6 11 semifinals edit vs west germany edit 3 blau-weiss tennis club west berlin 10 1967 red clay west germany 0 1 2 3 1 rosie casals helga sl 6 2 7 ',true
'ann haydon-jones virginia wade judy tegart lesley turner 8 6 6 4 13 final edit vs britain edit 2 blau-weiss tennis club west berlin 11 1967 red clay britain 0 1 2 3 1 rosie casals virginia wade 9 7 8 6 ',true
