@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'period april 15 25 luoyang peony festival april 1 7 top travel suggestions ',true
'mid-march mid-may difference latitude northern china\'s april south earlier march april northern march temperatures day begin warm evening hours bring ',true
'easy adapt whatever temperatures experience temperatures comfortable humidity detailed weather information weather march weather april weather help ',true
'temperatures experience temperatures comfortable humidity detailed weather information weather march weather april weather help enjoy avoid labor day week crowds ',true
'comfortable humidity detailed weather information weather march weather april weather help enjoy avoid labor day week crowds celebrates labor day week ',true
'humidity detailed weather information weather march weather april weather help enjoy avoid labor day week crowds celebrates labor day week ',true
'detailed weather information weather march weather april weather help enjoy avoid labor day week crowds celebrates labor day week ',true
'weather information weather march weather april weather help enjoy avoid labor day week crowds celebrates labor day week ',true
'weather april weather help enjoy avoid labor day week crowds celebrates labor day week hotel prices etc double attractions busy millions chinese ',true
'chinese statutory holiday tourism advise avoid coming 1 7 wrong best-selling tour classic wonders 11 days golden triangle beijing xi shanghai ',true
'tours travel visit march april contact community feedbacks home tours classic tours scenic tours ',true
'tours travel visit march april contact community feedbacks home tours classic tours scenic tours ',true
'tours travel visit march april contact community feedbacks home tours classic tours scenic tours ',true
'tours tries offer choices plan travel mild time march april embrace warm sunshine feel gentle breeze ',true
'drink galleries theatres help arts thrive visitors enjoy expansive multi-dimensional experience study abroad semester able submerse yourself heart german culture ',true
'enjoy expansive multi-dimensional experience study abroad semester able submerse yourself heart german culture enjoy german ',true
'result collection fun life-enhancing experiences study semester playing easy studying wonderful re looking programs fulfill major minor ',true
'collection fun life-enhancing experiences study semester playing easy studying wonderful re looking programs fulfill major minor ',true
'1 2018 day national holiday wed 1 2019 day national holiday fri 1 2020 day national holiday quick factsmay day holiday celebrate start campaign workers\' rights 1 day 2017monday ',true
'day national holiday wed 1 2019 day national holiday fri 1 2020 day national holiday quick factsmay day holiday celebrate start campaign workers\' rights 1 day 2017monday ',true
'day national holiday fri 1 2020 day national holiday quick factsmay day holiday celebrate start campaign workers\' rights 1 day 2017monday 1 2017 day 2018tuesday 1 2018 advertising name ',true
'holiday dedicated respect children rights celebrate happiness boys festival happens 5 girls festival 3 festivals loved festivals sakura cherry blossom ',true
'rights celebrate happiness boys festival happens 5 girls festival 3 festivals loved festivals sakura cherry blossom ',true
'wine recipe ll prepared ready time bewitching origins day celebrations day public holiday swing weather summer ',true
'ready time bewitching origins day celebrations day public holiday swing weather summer ',true
' weather alert experience typhoon-class storm yokosonews - japanese culture lifestyle entertainment yokosonews com join search facebook ',true
'travel entertainment art lifestyle news study food matsuri world fashion live home news weather alert experience typhoon-class storm posted katzueno wednesday april 4th 2012 standard time weather alert ',true
'entertainment art lifestyle news study food matsuri world fashion live home news weather alert experience typhoon-class storm posted katzueno wednesday april 4th 2012 standard time weather alert experience typhoon-class storm updates updated ',true
'news study food matsuri world fashion live home news weather alert experience typhoon-class storm posted katzueno wednesday april 4th 2012 standard time weather alert experience typhoon-class storm updates updated 9 00am april 4 2012 yokosonews ',true
'alert experience typhoon-class storm posted katzueno wednesday april 4th 2012 standard time weather alert experience typhoon-class storm updates updated 9 00am april 4 2012 yokosonews conclude weather ',true
'storm posted katzueno wednesday april 4th 2012 standard time weather alert experience typhoon-class storm updates updated 9 00am april 4 2012 yokosonews conclude weather ',true
'tomorrow morning north originally published 7 27pm april 2 2012 jma meteorological agency warns public experience nationwide storm rain wind snow storm northern tuesday april 3 ',true
'7 27pm april 2 2012 jma meteorological agency warns public experience nationwide storm rain wind snow storm northern tuesday april 3 ',true
'content stop slideshow home forums global courses contact subscribe search search fernglade farm update 2014 victoria 15 2014 chris mcleod filed demonstration sites food forests plant systems trees ',true
'hemenway permaculture crusader help bill mollison time scout 8 fernglade farm update 2014 victoria rick larson 16 2014 11 34 am busy nice ',true
'layers welcomes beginning warm season traditional easter celebrations festivals except season march weather airfares festivals events airfares hotel rates ',true
'season traditional easter celebrations festivals except season march weather airfares festivals events airfares hotel rates ',true
'easter celebrations fairs music festivals events march events april events city berlin bavaria frankfurt hamburg easter easter popular holidays marking awaited ',true
'air whoever toss bale wins events bank holiday events wish attend besides listed brighton festival held ',true
'expect planning visit except weather airfares festivals cherry blossoms weeks april erupts pink cherry blossoms bring represent relationship ',true
'expect planning visit except weather airfares festivals cherry blossoms weeks april erupts pink cherry blossoms bring represent relationship ',true
'except weather airfares festivals cherry blossoms weeks april erupts pink cherry blossoms bring represent relationship japan brighten berlin wall ran stuttgart ',true
'weather airfares festivals cherry blossoms weeks april erupts pink cherry blossoms bring represent relationship japan brighten berlin wall ran stuttgart ',true
'- tourism australia\'s seasons discover australia\'s discover australia\'s discover magical diversity lasting march country red-gold trees orange rural food wine ',true
'- tourism australia\'s seasons discover australia\'s discover australia\'s discover magical diversity lasting march country red-gold trees orange rural food wine ',true
'australia\'s seasons discover australia\'s discover australia\'s discover magical diversity lasting march country red-gold trees orange rural food wine ',true
'australia\'s seasons discover australia\'s luxury add share discover magical diversity australia\'s lasting march country learn adventure scenic brisbane river experience life drover ',true
'luxury add share discover magical diversity australia\'s lasting march country learn adventure scenic brisbane river experience life drover ',true
'queensland barrier reef view information add dream trip discover australia\'s discover australia\'s discover australia\'s discover magical diversity lasting march country red-gold trees orange rural food wine ',true
'barrier reef view information add dream trip discover australia\'s discover australia\'s discover australia\'s discover magical diversity lasting march country red-gold trees orange rural food wine ',true
'information add dream trip discover australia\'s discover australia\'s discover australia\'s discover magical diversity lasting march country red-gold trees orange rural food wine ',true
'trip discover australia\'s discover australia\'s discover australia\'s discover magical diversity lasting march country red-gold trees orange rural food wine ',true
'landmarks related space travel achievement flag russian federation alex kotlov 1 labor day labor day traditionally politically charged marked parades past ',true
'add events calendar creator adv calendar creator holidays day home calendar holidays bank holiday bank holiday bank holiday late bank holiday time people day ',true
'events calendar creator adv calendar creator holidays day home calendar holidays bank holiday bank holiday bank holiday late bank holiday time people day ',true
'adv calendar creator holidays day home calendar holidays bank holiday bank holiday bank holiday late bank holiday time people day ',true
'day home calendar holidays bank holiday bank holiday bank holiday late bank holiday time people day ',true
'day home calendar holidays bank holiday bank holiday bank holiday late bank holiday time people day school falls monday ',true
'home calendar holidays bank holiday bank holiday bank holiday late bank holiday time people day school falls monday ',true
'bank holiday bank holiday mon 27 2019 bank holiday bank holiday mon 25 2020 bank holiday bank holiday quick factsthe bank holiday monday bank holiday 2017monday 29 ',true
'bank holiday mon 27 2019 bank holiday bank holiday mon 25 2020 bank holiday bank holiday quick factsthe bank holiday monday bank holiday 2017monday 29 2017 bank holiday 2018monday 28 ',true
'bank holiday bank holiday mon 25 2020 bank holiday bank holiday quick factsthe bank holiday monday bank holiday 2017monday 29 2017 bank holiday 2018monday 28 ',true
'25 2020 bank holiday bank holiday quick factsthe bank holiday monday bank holiday 2017monday 29 2017 bank holiday 2018monday 28 2018 advertising name ',true
'evaluates yandex users search behavior corresponds time russian holidays beginning vacation period series holidays start month office ',true
'russians travel domestically raising yandex impressions relating domestic flights 51 popular domestic vacation spots peak summer seasons yields significant increase air plane ticket searches local destinations ',true
'russians travel domestically raising yandex impressions relating domestic flights 51 popular domestic vacation spots peak summer seasons yields significant increase air plane ticket searches local destinations ',true
'flights 51 popular domestic vacation spots peak summer seasons yields significant increase air plane ticket searches local destinations mind russians travel train especially trips ',true
'1 895 2017 sale airfares deals weather seasons climates australian seasons spring september november summer december february march winter june august seasons travel nicest weather ',true
'deals weather seasons climates australian seasons spring september november summer december february march winter june august seasons travel nicest weather spring planning travel read ',true
'seasons climates australian seasons spring september november summer december february march winter june august seasons travel nicest weather spring planning travel read time travel ',true
'spring september 1 whatever rationale seasons begin simply australian months march april daylight saving time dayloght saving time sunday april ',true
'observe daylight saving time public holidays public holidays include easter sunday occur march april labor day western victoria equivalent eight hours day tasmania canberra day australian ',true
'cook 1770 festival numerically-named town 1770 goomeri\'s pumpkin festival western whaleshark festival held exmouth racing let-up horse racing events throughout racing ',true
'leaves winter process undergo changes color deciduous trees impact massed autumnal color changes tracts wilderness ',true
'officially starts sept 22 goes dec 21 people consider fall labor day thanksgiving roughly march april 3 people found useful lyzie forbes-dash 158 contributions answered seasons date ',true
'people consider fall labor day thanksgiving roughly march april 3 people found useful lyzie forbes-dash 158 contributions answered seasons date ',true
'3 people found useful lyzie forbes-dash 158 contributions answered seasons date start finish - march april winter - june july august spring - september october november summer - december january february ',true
'lyzie forbes-dash 158 contributions answered seasons date start finish - march april winter - june july august spring - september october november summer - december january february ',true
'don\'t wide answered start begins 1 march continues 31 southern hemisphere months march april 5 ',true
'wide answered start begins 1 march continues 31 southern hemisphere months march april 5 ',true
'wide answered start begins 1 march continues 31 southern hemisphere months march april 5 ',true
'wide answered start begins 1 march continues 31 southern hemisphere months march april 5 people found useful edit share ',true
'start begins 1 march continues 31 southern hemisphere months march april 5 people found useful edit share ',true
'begins 1 march continues 31 southern hemisphere months march april 5 people found useful edit share answer useful yes somewhat ',true
'3 kuwait giant - 1 40 thesonicq8 889 906 1 40 massive engulfs arabian cities day night tuesday 8 2013 - 1 49 adrenalinejunky -jason hendricks 29 546 1 49 hits - 0 48 mody nasser 8 259 0 48 youtube youtube ',true
'889 906 1 40 massive engulfs arabian cities day night tuesday 8 2013 - 1 49 adrenalinejunky -jason hendricks 29 546 1 49 hits - 0 48 mody nasser 8 259 0 48 youtube youtube ',true
'day happy day happy independence day 1 1 1 related articles photos - photos russian traditions celebrations festivals events cultural festivals celebrating moscow st petersburg celebrating april ',true
'day happy independence day 1 1 1 related articles photos - photos russian traditions celebrations festivals events cultural festivals celebrating moscow st petersburg celebrating april ',true
'related articles photos - photos russian traditions celebrations festivals events cultural festivals celebrating moscow st petersburg celebrating april ',true
'26 bank holiday - - - 01 01 2017 19 36 rss british bulldog 2007-2008 2008-2009 2009-2010 2010-2011 ',true
'british bulldog 2007-2008 2008-2009 2009-2010 2010-2011 2011-2012 2012-2013 2013-2014 2014-2015 2015-2016 19 1 1 0 26 bank holiday 07 05 2014 22 07 bank holiday bank holiday ',true
'7 days national days religious holidays christian hindu jewish islamic countdown home countries bank holiday social advertisements bank holiday public holiday observed bank holiday day date 2018 monday 28th 2017 monday 29th 2016 monday 30th 2015 monday 25th 2014 monday ',true
'7 days national days religious holidays christian hindu jewish islamic countdown home countries bank holiday social advertisements bank holiday public holiday observed bank holiday day date 2018 monday 28th 2017 monday 29th 2016 monday 30th 2015 monday 25th 2014 monday ',true
'holidays christian hindu jewish islamic countdown home countries bank holiday social advertisements bank holiday public holiday observed bank holiday day date 2018 monday 28th 2017 monday 29th 2016 monday 30th 2015 monday 25th 2014 monday ',true
'bank holiday social advertisements bank holiday public holiday observed bank holiday day date 2018 monday 28th 2017 monday 29th 2016 monday 30th 2015 monday 25th 2014 monday ',true
'2016 syria crisis arab world war iran russia usa nato turkey 2016 - youtube jp view message english youtube learn you\'re viewing youtube ',true
'youtube japanese change preference below __count__ __total__ 2016 syria crisis arab world war iran russia usa nato turkey 2016 u2bheavenbound 130 02713 12 362 70 71 8 9 2016 05 10 2016 syria ',true
'e-mail 23 shares 15 view comments eddie jones\' england grabbed victory allister coetzee\'s saturday afternoon\'s test tries jonny courtney lawes george ford owen farrell helped land win jubilant home ',true
'5 ruan combrinck 5 willie le roux 6 related articles previous 1 england 37-21 tries jonny courtney england 37-21 internationals live scotland learn lessons quarter-final loss england\'s clash ',true
'ruan combrinck 5 willie le roux 6 related articles previous 1 england 37-21 tries jonny courtney england 37-21 internationals live scotland learn lessons quarter-final loss england\'s clash ',true
'le roux 6 related articles previous 1 england 37-21 tries jonny courtney england 37-21 internationals live scotland learn lessons quarter-final loss england\'s clash ',true
'calendar add events calendar creator adv calendar creator holidays day home calendar holidays labor day labor day celebrations 1 lost political meaning 1991 political parties labor unions ',true
'add events calendar creator adv calendar creator holidays day home calendar holidays labor day labor day celebrations 1 lost political meaning 1991 political parties labor unions ',true
'adv calendar creator holidays day home calendar holidays labor day labor day celebrations 1 lost political meaning 1991 political parties labor unions ',true
'labor day celebrations 1 lost political meaning 1991 political parties labor unions demonstrations day russians labor day gardening spending time families flowers popular symbol ',true
'labor unions organize demonstrations day party labor union activists participate demonstrations public life labor day public holiday banks public buildings educational institutions closed day 1 ',true
'day party labor union activists participate demonstrations public life labor day public holiday banks public buildings educational institutions closed day 1 falls weekend public holiday usually moves following monday public ',true
'day victory putschists 1991 day-off labour day edit information international workers\' day former soviet union 1 international workers\' day celebrated huge parades cities moscow ',true
'windows blog archive 1st day labor home donation rss archive recipes russian churches windows russiaall ',true
'windows blog archive 1st day labor home donation rss archive recipes russian churches windows russiaall ',true
'windows blog archive 1st day labor home donation rss archive recipes russian churches windows russiaall russian little bit american idiosyncrasies ',true
'russian churches windows russiaall russian little bit american idiosyncrasies 1st day labor 22nd july 2010 originally posted 2008-04-30 17 01 00 hello ',true
'russian churches windows russiaall russian little bit american idiosyncrasies 1st day labor 22nd july 2010 originally posted 2008-04-30 17 01 00 hello holiday day labor day 1 2008 formerly ',true
'russian little bit american idiosyncrasies 1st day labor 22nd july 2010 originally posted 2008-04-30 17 01 00 hello holiday day labor day 1 2008 formerly international worker solidarity day communist system ',true
'day labor 22nd july 2010 originally posted 2008-04-30 17 01 00 hello holiday day labor day 1 2008 formerly international worker solidarity day communist system ',true
'idiosyncrasy time menu skip content home favorite photos crimea chronicles russian russian art anna 22 2014 labor day victory day eating outside smelling roses ',true
'russian landscape throughout share twitter facebook pinterest email loading 22 2014 russian art tags art russian art russian landscape russian nature russian related posts russian autumn russian art october russian summer russian art july ',true
'compass ceo andrew su risk arab force opec cut oil output home edition news economy finance health care real estate wealth ',true
'watch cnbc pro watchlist asia-pacific news compass ceo andrew su risk arab force opec cut oil output huileng tan huileng_tan tuesday 19 jan 2016 3 29 am ',true
'disasters die-offs wonder art antarctica pics sky phenomena forum home natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 natural disaster sand storm apocalyptical engulfs hafr al-batin ',true
'antarctica pics sky phenomena forum home natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 strange sounds - 7 ',true
'pics sky phenomena forum home natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 strange sounds - 7 2016 apocalyptical ',true
'phenomena forum home natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 strange sounds - 7 2016 apocalyptical swept ',true
'engulfs hafr al-batin 6 2016 natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 strange sounds - 7 2016 apocalyptical swept hafr ',true
'6 2016 natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 strange sounds - 7 2016 apocalyptical swept hafr al-batin 6 2016 biblical wall sand ',true
'6 2016 natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 strange sounds - 7 2016 apocalyptical swept hafr al-batin 6 2016 biblical wall sand blackened sky ',true
'6 2016 natural disaster sand storm apocalyptical engulfs hafr al-batin 6 2016 strange sounds - 7 2016 apocalyptical swept hafr al-batin 6 2016 biblical wall sand blackened sky city ',true
'apocalyptical engulfs hafr al-batin 6 2016 strange sounds - 7 2016 apocalyptical swept hafr al-batin 6 2016 biblical wall sand blackened sky city ',true
'6 2016 strange sounds - 7 2016 apocalyptical swept hafr al-batin 6 2016 biblical wall sand blackened sky city ',true
'looks thunderstorm engulfing city crazy follow facebook twitter tags 2016 photo sanstorm video strange sounds related articlesmore author sand storm epic changes day night afghanistan sand storm haboob engulfs phoenix arizona august 9 ',true
'plane flies quotesmedia 00 3 766 7 8 0 1 2013 05 16 rafha 12 2013 passenger plane flying rafha captures incredible footage ',true
