@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'bucharest romania isdef 07 - 08 2016 - moscow russia avangate sponsored isdef 2016 7-8 2016 moscow dreamforce 04 - 07 2016 - san francisco america avangate attended dreamforce 2016 4-7 san francisco imworld 05 - ',true
'heat humidity 1818 mm monthly rainfall 44 moderate uv index average maximum daytime 19 66 usually 7 hours bright sunshine day ',true
'attractions won\'t crowded summer schools month september november fall holidays holidays mid-autumn festival ',true
'crowded summer schools month september november fall holidays holidays mid-autumn festival tribute ',true
'canton fair 2013 - 114th import export fair 2013 - chinaexhibition com sourcing suppliers manufacturers taiwan ',true
'organizer trade city trade venue expired trade business home trade calendar canton fair 2013 - 114th import export fair 2013 canton fair 2013 - ',true
'city trade venue expired trade business home trade calendar canton fair 2013 - 114th import export fair 2013 canton fair 2013 - ',true
'venue expired trade business home trade calendar canton fair 2013 - 114th import export fair 2013 canton fair 2013 - 114th import ',true
'expired trade business home trade calendar canton fair 2013 - 114th import export fair 2013 canton fair 2013 - 114th import export fair 2013 fields required ',true
'business home trade calendar canton fair 2013 - 114th import export fair 2013 canton fair 2013 - 114th import export fair 2013 fields required ',true
'2013 - 114th import export fair 2013 canton fair 2013 - 114th import export fair 2013 fields required receive ',true
'trade date 2013 10 15 - 2013 11 04 expired event\'s profile 114th import export fair canton fair 2013 canton fair 2013 114th canton fair canton fair 2013 session announced held ',true
'event\'s profile 114th import export fair canton fair 2013 canton fair 2013 114th canton fair canton fair 2013 session announced held import export fair pazhou complex guangzhou 15 november 4 2013 canton ',true
'canton fair 2013 canton fair 2013 114th canton fair canton fair 2013 session announced held import export fair pazhou complex guangzhou 15 november 4 2013 canton fair import export ',true
'session announced held import export fair pazhou complex guangzhou 15 november 4 2013 canton fair import export fair held biannually guangzhou spring history 55 1957 2013 canton fair welcome ',true
'2013 canton fair welcome 114th anniversary 114th canton fair canton fair 2013 session announced held import export fair pazhou complex guangzhou 15 november 4 2013 can\'t miss 114th canton fair canton fair ',true
'canton fair 2014 - 116th import export fair 2014 - chinaexhibition com sourcing suppliers manufacturers taiwan ',true
'organizer trade city trade venue expired trade business home trade calendar canton fair 2014 - 116th import export fair 2014 canton fair 2014 - ',true
'city trade venue expired trade business home trade calendar canton fair 2014 - 116th import export fair 2014 canton fair 2014 - ',true
'venue expired trade business home trade calendar canton fair 2014 - 116th import export fair 2014 canton fair 2014 - 116th import ',true
'expired trade business home trade calendar canton fair 2014 - 116th import export fair 2014 canton fair 2014 - 116th import export fair 2014 fields required ',true
'business home trade calendar canton fair 2014 - 116th import export fair 2014 canton fair 2014 - 116th import export fair 2014 fields required ',true
'2014 - 116th import export fair 2014 canton fair 2014 - 116th import export fair 2014 fields required receive ',true
'trade date 2014 10 15 - 2014 11 04 expired event\'s profile 116th import export fair 2014 canton fair 2014 canton fair 117 import export fair 2015 116th import ',true
'04 expired event\'s profile 116th import export fair 2014 canton fair 2014 canton fair 117 import export fair 2015 116th import export fair 2014 canton fair ',true
'canton fair 117 import export fair 2015 116th import export fair 2014 canton fair 2014 edition organized cftc - foreign trade centre ',true
'export fair 2015 116th import export fair 2014 canton fair 2014 edition organized cftc - foreign trade centre 15 2014 november 4 2014 ',true
'export fair 2015 116th import export fair 2014 canton fair 2014 edition organized cftc - foreign trade centre 15 2014 november 4 2014 import export fair pazhou complex guangzhou ',true
'exhibit variety broadest distribution overseas buyers business turnover date announced canton fair 2014 phase 15th-19th 2014 9 30-18 00 phase 23rd-27th 2014 9 30-18 ',true
'trail series bloomingtonmn mn mapmyrun mapmyrun training workouts training plans nutrition calorie calculator routes routes create route route ',true
'city challenges blog shop log sign routes route route details trail series distance 5 84 kilometers climb 39 ft begins bloomingtonmn mn created sam rush description 5 84 km route bloomingtonmn mn ',true
'festivals june festivals july festivals august festivals september festivals festivals november festivals december festivals zuiki festival 1-5 kitano tenmangu kyoto harvest festival mikoshi portable shrines bedecked zuiki taro stems nihonmatsu lantern festival ',true
'festivals july festivals august festivals september festivals festivals november festivals december festivals zuiki festival 1-5 kitano tenmangu kyoto harvest festival mikoshi portable shrines bedecked zuiki taro stems nihonmatsu lantern festival ',true
'festivals august festivals september festivals festivals november festivals december festivals zuiki festival 1-5 kitano tenmangu kyoto harvest festival mikoshi portable shrines bedecked zuiki taro stems nihonmatsu lantern festival ',true
'festivals august festivals september festivals festivals november festivals december festivals zuiki festival 1-5 kitano tenmangu kyoto harvest festival mikoshi portable shrines bedecked zuiki taro stems nihonmatsu lantern festival ',true
'canton fair 2016 - 120th import export fair 2016 - chinaexhibition com sourcing suppliers manufacturers taiwan ',true
'organizer trade city trade venue expired trade business home trade calendar canton fair 2016 - 120th import export fair 2016 canton fair 2016 - ',true
'city trade venue expired trade business home trade calendar canton fair 2016 - 120th import export fair 2016 canton fair 2016 - ',true
'venue expired trade business home trade calendar canton fair 2016 - 120th import export fair 2016 canton fair 2016 - 120th import ',true
'expired trade business home trade calendar canton fair 2016 - 120th import export fair 2016 canton fair 2016 - 120th import export fair 2016 fields required ',true
'business home trade calendar canton fair 2016 - 120th import export fair 2016 canton fair 2016 - 120th import export fair 2016 fields required ',true
'2016 - 120th import export fair 2016 canton fair 2016 - 120th import export fair 2016 fields required receive ',true
'date 2016 10 15 - 2016 11 04 expired event\'s profile canton fair 2016 120th import export fair 2016 cftc - foreign trade centre organise ',true
