@relation posOrNegWordBags

@attribute corpus string
@attribute Class_Attribute_For_SimpleOpenEval {true,false}

@data
'class statcounter src http statcounter com 1854233 0 c5434596 1 alt web stats - round 3 xinjiang west west blog travel resources contact blog travel resources contact round 3 1 2008 comments tweet sumome re enjoying ',true
'statcounter src http statcounter com 1854233 0 c5434596 1 alt web stats - round 3 xinjiang west west blog travel resources contact blog travel resources contact round 3 1 2008 comments tweet sumome re enjoying ',true
'src http statcounter com 1854233 0 c5434596 1 alt web stats - round 3 xinjiang west west blog travel resources contact blog travel resources contact round 3 1 2008 comments tweet sumome re enjoying ',true
'c5434596 1 alt web stats - round 3 xinjiang west west blog travel resources contact blog travel resources contact round 3 1 2008 comments tweet sumome re enjoying ',true
'web stats - round 3 xinjiang west west blog travel resources contact blog travel resources contact round 3 1 2008 comments tweet sumome re enjoying ',true
'south sudan south sudan starts march 20 autumn equinox tanzania tanzania week january usually monday asia falls 1 monday following 1 friday saturday sunday ',true
'sudan south sudan starts march 20 autumn equinox tanzania tanzania week january usually monday asia falls 1 monday following 1 friday saturday sunday ',true
'south sudan starts march 20 autumn equinox tanzania tanzania week january usually monday asia falls 1 monday following 1 friday saturday sunday ',true
'south sudan starts march 20 autumn equinox tanzania tanzania week january usually monday asia falls 1 monday following 1 friday saturday sunday ',true
'autumn equinox tanzania tanzania week january usually monday asia falls 1 monday following 1 friday saturday sunday ',true
'tanzania week january usually monday asia falls 1 monday following 1 friday saturday sunday ',true
'tanzania week january usually monday asia falls 1 monday following 1 friday saturday sunday ',true
'tanzania week january usually monday asia falls 1 monday following 1 friday saturday sunday northeastern schools ',true
'falls 1 monday following 1 friday saturday sunday northeastern schools monday mid-august summer vacation hong kong sar hong kong falls 1 monday following 1 ',true
'monday following 1 friday saturday sunday northeastern schools monday mid-august summer vacation hong kong sar hong kong falls 1 monday following 1 friday saturday sunday ',true
'monday following march 3 friday saturday sunday taiwan taiwan falls 1 monday following 1 friday saturday sunday ',true
'monday following march 3 friday saturday sunday taiwan taiwan falls 1 monday following 1 friday saturday sunday thailand ',true
'falls eid it\'s thursday sunday asiaedit chinaedit falls 1 monday following 1 friday saturday sunday ',true
'falls eid it\'s thursday sunday asiaedit chinaedit falls 1 monday following 1 friday saturday sunday northeastern schools ',true
'falls 1 monday following 1 friday saturday sunday northeastern schools monday mid-august summer vacation hong kong saredit hong kong falls 1 monday following 1 ',true
'monday following 1 friday saturday sunday northeastern schools monday mid-august summer vacation hong kong saredit hong kong falls 1 monday following 1 friday saturday sunday ',true
'friday saturday sunday march 1 national holiday taiwanedit taiwan falls 1 monday following 1 friday saturday sunday ',true
'friday saturday sunday march 1 national holiday taiwanedit taiwan falls 1 monday following 1 friday saturday sunday thailandedit ',true
'home guide articles seasonal top 5 visit top 5 visit beginning month weather cools rare rainfall ',true
'top 5 visit top 5 visit beginning month weather cools rare rainfall ',true
'visit top 5 visit beginning month weather cools rare rainfall ',true
'visit top 5 visit beginning month weather cools rare rainfall ',true
'delayed falls eid it\'s thursday sunday asia edit edit falls 1 monday following 1 friday saturday sunday ',true
'falls eid it\'s thursday sunday asia edit edit falls 1 monday following 1 friday saturday sunday ',true
'eid it\'s thursday sunday asia edit edit falls 1 monday following 1 friday saturday sunday northeastern schools ',true
'friday saturday sunday march 1 national holiday taiwan edit taiwan falls 1 monday following 1 friday saturday sunday ',true
'friday saturday sunday march 1 national holiday taiwan edit taiwan falls 1 monday following 1 friday saturday sunday thailand edit ',true
'iff magic - 27 - 29 2017 home ubm ubm overview ubm business segments ubm strategy ubm ',true
'board ubm locations contact search results register event iff magic 2017-09-27t00 00 00-04 00 2017-09-29t00 00 00-04 00 27 - 29 2017 tokyo sight exhibition center 3-11-1 ariake koto-ku tokyo 135-0063 ',true
'ubm locations contact search results register event iff magic 2017-09-27t00 00 00-04 00 2017-09-29t00 00 00-04 00 27 - 29 2017 tokyo sight exhibition center 3-11-1 ariake koto-ku tokyo 135-0063 tokyo 135-0063 event focus fashion event type expo conference event website http ',true
'southern philippines - 14 citation guizhou province 19 april 1995 guizhou province - 37 citation jamalpur-tangail districts bangladesh 13 1996 dhaka division bangladesh - 700 4 central vietnam 23 1997 central vietnam - 4 citation west bengal odisha india 24 march 1998 ',true
'ti giang vietnam 2 1 77 5 savar gazipur districts bangladesh 19 2000 dhaka division bangladesh 2 2 5 6 bhalwal pakistan 28 march 2001 bhalwal pakistan - 3 citation south 20 april 2003 tiaofeng town leizhou city guangdong province 29 unclear ',true
'netrokona mymensingh districts bangladesh 48 700 exact injured unknown 18 guangdong 8 2005 17 villages lianjiang city guangdong province casualties injuries unknown 10 000 ',true
'netrokona mymensingh districts bangladesh 48 700 exact injured unknown 18 guangdong 8 2005 17 villages lianjiang city guangdong province casualties injuries unknown 10 000 people affected 480 houses destroyed 12 8 million yuan ',true
'000 people affected 480 houses destroyed 12 8 million yuan economic losses 19 hainan 27 2005 lingao county hainan province 6 15 6 houses destroyed 70 damaged 20 ',true
'people affected 480 houses destroyed 12 8 million yuan economic losses 19 hainan 27 2005 lingao county hainan province 6 15 6 houses destroyed 70 damaged 20 jiangsu 29 november 2005 ',true
'480 houses destroyed 12 8 million yuan economic losses 19 hainan 27 2005 lingao county hainan province 6 15 6 houses destroyed 70 damaged 20 jiangsu 29 november 2005 suzhou jiangsu province 6 52 21 anhui 6 december ',true
'error fatalities reported 580 000 people affected severe weather 55 sanba karen 18 2012 japan 10 56 guangxi 17 april 2013 qixing district guilin city rongan county liuzhou city guangxi zhuang autonomous ',true
'signing subscribe blog join home top 10 leaves top 10 leaves posted 8 2015 violet cloutman time visit ',true
'subscribe blog join home top 10 leaves top 10 leaves posted 8 2015 violet cloutman time visit ',true
'top 10 leaves top 10 leaves posted 8 2015 violet cloutman time visit ',true
'town yumoto onsen leaves beautiful enchantment tour takes advantage leaves nikko october november departures nikko features splendour self guided adventure 7 fuji ',true
'2016 forecast warmth hold wind threat build november recent locations york ny52 miami fl80 ',true
'radar maps news video winter severe climate social watch videos news videos blogs personalities 2016 forecast warmth hold wind threat build november eric leister meteorologist august 23 2016 5 ',true
'25 22 am edt wet warm summer conditions continue summerlike warmth prevail throughout warm air mediterranean sea carried northward accuweather senior meteorologist ',true
'wet warm summer conditions continue summerlike warmth prevail throughout warm air mediterranean sea carried northward accuweather senior meteorologist alan reppert ',true
'festivals - mid festival search facebook twitter google pinterest main menu skip content home ',true
'travel information julia 22 07 2014 travel guides uncategorized tagged festivals holidays moon cake festival permalink festivals mid festival posted 22 07 2014 julia 6th 2014 25th 2015 mid ',true
'julia 22 07 2014 travel guides uncategorized tagged festivals holidays moon cake festival permalink festivals mid festival posted 22 07 2014 julia 6th 2014 25th 2015 mid ',true
'travel guides uncategorized tagged festivals holidays moon cake festival permalink festivals mid festival posted 22 07 2014 julia 6th 2014 25th 2015 mid ',true
'shock fun thinking travel weird movies music total creep losing id posted 12 2012 starts august equinox ',true
'music total creep losing id posted 12 2012 starts august equinox ',true
'total creep losing id posted 12 2012 starts august equinox ',true
'total creep losing id posted 12 2012 starts august equinox temperatures ',true
'trip traveling kids 7 steps plan perfect family tour top 10 apps travelers marks beginning weather summer heat begins wane weather north cooler ',true
'7 steps plan perfect family tour top 10 apps travelers marks beginning weather summer heat begins wane weather north cooler ',true
'lucy\'s stash home nail art posts nail art gallery tutorials sponsor contact disclaimer friday 06 2013 glaze nights fall 2013 - review swatches six shades pr samples hello lovelies ',true
'2012 2013 14 somerset levels 2013 14 2015 16 2016 heat waves droughts 1906 1911 1955 1976 1990 2003 2006 spring 2011 2011 march 2012 2013 2016 storm surges south england 1287 north sea 1287 bristol channel 16071 north sea 1953 ',true
'wikipedia org index php title autumn_2000_western_europe_floods oldid 757066820 categories 2000 disasters 2000 floods 2000 ireland 2000 meteorology floods ireland floods floods europe european windstorms weather events 2000 events october 2000 events november 2000 events december 2000 events hidden categories articles ',true
'2000 floods 2000 ireland 2000 meteorology floods ireland floods floods europe european windstorms weather events 2000 events october 2000 events november 2000 events december 2000 events hidden categories articles ',true
'issues parenting religion spirituality sports plan trip usa europe world com travel travel what\'s october november days shorter cooler nights ',true
'parenting religion spirituality sports plan trip usa europe world com travel travel what\'s october november days shorter cooler nights festive ',true
'trip usa europe world com travel travel what\'s october november days shorter cooler nights festive ',true
'monday following 1 friday saturday sunday romania edit romania 11 monday following 11 friday saturday sunday edit schools historically begin knowledge 1 exact date ',true
'following 1 friday saturday sunday romania edit romania 11 monday following 11 friday saturday sunday edit schools historically begin knowledge 1 exact date country fixed decree ',true
'2016 today\'s edition november 23 2016 american list factory tours williams contributors videos look japanese michael williams posted 21 2009september 21 2009 filed look ',true
'factory tours williams contributors videos look japanese michael williams posted 21 2009september 21 2009 filed look ',true
'travel october november visit weather tips clothes book -introducing ',true
'travel october november visit weather tips clothes book -introducing japan- inspired tokyo kyoto hokkaido osaka sightseeing shrines ',true
'inspired sightseeing food drink culture otaku search english english 2016 06 07 update 5031 views travel october november visit weather tips clothes prefecture japanese culture ',true
'sightseeing food drink culture otaku search english english 2016 06 07 update 5031 views travel october november visit weather tips clothes prefecture japanese culture spring considered season spend time ',true
'drink culture otaku search english english 2016 06 07 update 5031 views travel october november visit weather tips clothes prefecture japanese culture spring considered season spend time vertical geography ',true
'northern eastern western naha amami http www jma jp includes october november considered ',true
'northern eastern western naha amami http www jma jp includes october november considered ',true
'naha amami http www jma jp includes october november considered ',true
'naha amami http www jma jp includes october november considered explanations based meteorological agency regions ',true
'amami http www jma jp includes october november considered explanations based meteorological agency regions northern http blog goo ne jp yama-goma ',true
'shrine walking guide sightseeing spots miyajima 2016 07 08 japanese culture rankings 1 travel october november visit weather tips clothes 2016 06 07 2 winter ',true
'walking guide sightseeing spots miyajima 2016 07 08 japanese culture rankings 1 travel october november visit weather tips clothes 2016 06 07 2 winter travel december january february visit weather tips clothes 2016 06 07 ',true
'please visit gq de issue credits include publication gq winter 2014 title vorsehung photography bruno staub styling tobias frericks john todd gq 2014 photography bruno staub follow john todd gq 2014 photography bruno staub john ',true
'please visit gq de issue credits include publication gq winter 2014 title vorsehung photography bruno staub styling tobias frericks john todd gq 2014 photography bruno staub follow bruno staub gq john todd tobias frericks ',true
'multimedia pictures cartoons audio slideshows video audio podcasts infographics glorious days 10 2012 ajay kamalakaran warm pleasant days welcome beautiful foliage months spend facebook twitter linkedin ',true
'pictures cartoons audio slideshows video audio podcasts infographics glorious days 10 2012 ajay kamalakaran warm pleasant days welcome beautiful foliage months spend facebook twitter linkedin pinterest whatsapp print page related 5 fabulous russian destinations indian travellers ',true
'10 2012 ajay kamalakaran warm pleasant days welcome beautiful foliage months spend facebook twitter linkedin pinterest whatsapp print page related 5 fabulous russian destinations indian travellers ',true
'visit paris month st petersburg khabarovsk mentioned sites enormous eurasian landmass compare beauty moon majestic amur river reflecting golden domes nearby ',true
'conference subscription subscribe sign book hotel add article search search home spoga horse 2011 spoga horse 2011 4-6 2011 koelnmesse koeln past view hotels near venue event - view upcoming events dubai international ',true
'book hotel add article search search home spoga horse 2011 spoga horse 2011 4-6 2011 koelnmesse koeln past view hotels near venue event - view upcoming events dubai international ',true
'pennsylvania horse world expo 2017 march 2-5 2017 harrisburg united events spoga horse 2011 held koeln 4-6 2011 international trade fair equestrian sports learn venue koelnmesse messeplatz 1 koeln ',true
'csiro pre-breeding day wheat breeders 2010 - july 20 2010 canberra australia spoga horse 2010 - 5 2010 koeln similar events category lifestyle animals sport leisure concurrent events coffeena 2011 eu vend ',true
'pressure caused warm air southern europe rise towards uk dates 25 3 october affected ireland temperature 29 9 gravesend england 1 2011 heat wave period unseasonably warm weather arrived towards ',true
'selc homestay student survey brochure request blog date selc selc blog activities activities 5 2014selcblog happy monday 1st day ',true
'date selc selc blog activities activities 5 2014selcblog happy monday 1st day month people argue doesn ',true
'selc blog activities activities 5 2014selcblog happy monday 1st day month people argue doesn ',true
'activities 5 2014selcblog happy monday 1st day month people argue doesn start equinox equinox ',true
'5 2014selcblog happy monday 1st day month people argue doesn start equinox equinox ',true
'winter sun holiday snorkel temperate barrier reef 4wd south simpson desert november time watch whales wildflowers explore ',true
'snorkel temperate barrier reef 4wd south simpson desert november time watch whales wildflowers explore ',true
'blue mountains christmas festivities view information add dream trip discover australia\'s discover australia\'s discover australia\'s discover season lasts november country tropical north build-up ',true
'christmas festivities view information add dream trip discover australia\'s discover australia\'s discover australia\'s discover season lasts november country tropical north build-up ',true
'information add dream trip discover australia\'s discover australia\'s discover australia\'s discover season lasts november country tropical north build-up ',true
'add dream trip discover australia\'s discover australia\'s discover australia\'s discover season lasts november country tropical north build-up ',true
'pressure caused warm air southern europe rise towards uk dates 25 3 october affected ireland temperature 29 9 gravesend england 1 2011 heat wave period unseasonably warm weather arrived towards ',true
'discover australia\'s - tourism australias seasons discover australia\'s discover australia\'s discover season lasts november country tropical north build-up ',true
'discover australia\'s - tourism australias seasons discover australia\'s discover australia\'s discover season lasts november country tropical north build-up ',true
'discover australia\'s - tourism australias seasons discover australia\'s discover australia\'s discover season lasts november country tropical north build-up ',true
'australia\'s - tourism australias seasons discover australia\'s discover australia\'s discover season lasts november country tropical north build-up ',true
'1st - real ep 84 - youtube jp view message english youtube learn you\'re viewing ',true
'1st - real ep 84 - youtube jp view message english youtube learn you\'re viewing ',true
'you\'re viewing youtube japanese change preference below __count__ __total__ 1st - real ep 84 real 77 8247 130 668 2 068 2 069 95 96 2014 ',true
'you\'re viewing youtube japanese change preference below __count__ __total__ 1st - real ep 84 real 77 8247 130 668 2 068 2 069 95 96 2014 ',true
'77 8247 130 668 2 068 2 069 95 96 2014 09 03 1st beginning schools colleges universities country it\'s holiday called knowledges graders coming time class it\'s ',true
'77 8247 130 668 2 068 2 069 95 96 2014 09 03 1st beginning schools colleges universities country it\'s holiday called knowledges graders coming time class it\'s ',true
'pressure caused warm air southern europe rise towards uk dates 25 3 october affected ireland temperature 29 9 gravesend england 1 2011 heat wave period unseasonably warm weather arrived towards ',true
'2012 2013 14 somerset levels 2013 14 2015 16 2016 heat waves droughts 1906 1911 1955 1976 1990 2003 2006 spring 2011 2011 march 2012 2013 2016 storm surges south england 1287 north sea 1287 bristol channel 16071 north sea 1953 ',true
'title autumn_2011_united_kingdom_heat_wave oldid 757066663 categories 2011 heat waves 2011 ireland 2011 2011 meteorology heat waves weather events europe history gravesend kent 21st century kent weather events 2011 events october 2011 events hidden categories engvarb january 2014 dmy dates ',true
'waves 2011 ireland 2011 2011 meteorology heat waves weather events europe history gravesend kent 21st century kent weather events 2011 events october 2011 events hidden categories engvarb january 2014 dmy dates ',true
'bazaar june 2015 press harper bazaar june 2015 press harper bazaar march 2015 press harper bazaar october 2015 press harper bazaar 2013 press inspired 2014 press inspired winter 2014 press katy perry runa jewelry press azure ',true
'bazaar june 2015 press harper bazaar march 2015 press harper bazaar october 2015 press harper bazaar 2013 press inspired 2014 press inspired winter 2014 press katy perry runa jewelry press azure ',true
'bazaar march 2015 press harper bazaar october 2015 press harper bazaar 2013 press inspired 2014 press inspired winter 2014 press katy perry runa jewelry press azure ',true
