@relation 'speaker-suitability-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.supervised.instance.ClassBalancer-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-F-B10-M-1.0-Rfirst-last-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.ExhaustiveSearch'

@attribute event_keyword-speaker_topic-word2vec-max {'\'(-inf-0.024977]\'','\'(0.024977-0.085199]\'','\'(0.085199-0.101196]\'','\'(0.101196-0.129883]\'','\'(0.129883-0.152661]\'','\'(0.152661-0.178773]\'','\'(0.178773-0.249762]\'','\'(0.249762-0.368254]\'','\'(0.368254-0.390583]\'','\'(0.390583-inf)\''}
@attribute classification {1,2,3}

@data
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.024977-0.085199]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.024977-0.085199]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.129883-0.152661]\''},{0.815182}
{},{0.815182}
{0 '\'(0.024977-0.085199]\''},{0.815182}
{},{0.815182}
{0 '\'(0.024977-0.085199]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.024977-0.085199]\''},{0.815182}
{},{0.815182}
{0 '\'(0.024977-0.085199]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.101196-0.129883]\''},{0.815182}
{},{0.815182}
{0 '\'(0.101196-0.129883]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.024977-0.085199]\''},{0.815182}
{},{0.815182}
{0 '\'(0.024977-0.085199]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.249762-0.368254]\''},{0.815182}
{0 '\'(0.129883-0.152661]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.129883-0.152661]\''},{0.815182}
{0 '\'(0.129883-0.152661]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.152661-0.178773]\''},{0.815182}
{},{0.815182}
{0 '\'(0.152661-0.178773]\''},{0.815182}
{},{0.815182}
{0 '\'(0.152661-0.178773]\''},{0.815182}
{0 '\'(0.101196-0.129883]\''},{0.815182}
{},{0.815182}
{0 '\'(0.101196-0.129883]\''},{0.815182}
{},{0.815182}
{0 '\'(0.249762-0.368254]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{0 '\'(0.085199-0.101196]\''},{0.815182}
{},{0.815182}
{0 '\'(0.085199-0.101196]\''},{0.815182}
{},{0.815182}
{0 '\'(0.085199-0.101196]\''},{0.815182}
{0 '\'(0.101196-0.129883]\''},{0.815182}
{},{0.815182}
{0 '\'(0.101196-0.129883]\''},{0.815182}
{0 '\'(0.101196-0.129883]\''},{0.815182}
{},{0.815182}
{0 '\'(0.085199-0.101196]\''},{0.815182}
{},{0.815182}
{0 '\'(0.085199-0.101196]\''},{0.815182}
{0 '\'(0.085199-0.101196]\''},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{},{0.815182}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 '\'(0.390583-inf)\'',1 2},{1.127854}
{0 '\'(0.368254-0.390583]\'',1 2},{1.127854}
{1 2},{1.127854}
{1 2},{1.127854}
{0 '\'(0.390583-inf)\'',1 2},{1.127854}
{0 '\'(0.368254-0.390583]\'',1 2},{1.127854}
{1 2},{1.127854}
